Target,Release date,Deposited,Temporal violation,Closest pre-cutoff complex,TCRa identity,TCRb identity,Concat TCR identity,Peptide identity,MHC identity,All chains >40%?,Multimer TM,TM ref,Partial prior,Cluster,Rules triggered,Recommendation
9NDS,2026-01-14,2025-02-18,no,4FTV,100.0,100.0,100.0,100.0,100.0,4FTV (100%),0.968,3QFJ,"same/similar pMHC; binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C09 (n=3),rule 2 concat>=90:4FTV(100.0); Va>=95:1AO7(100.0); Vb>=95:4FTV(100.0); rule 3 all-chain>40% vs 4FTV (min 100%); rule 5 TM 0.97 vs 3QFJ,Exclude—complete-complex similarity
9NMU,2026-03-18,2025-03-04,no,5NME,94.2,94.5,74.6,22.2,100.0,no,0.946,3QDJ,"same MHC, other peptide",C04 (n=5),rule 5 TM 0.95 vs 3QDJ,Retain in standard benchmark; exclude from strict subset
9NMV,2026-03-18,2025-03-04,no,5NME,93.3,94.5,74.2,22.2,100.0,no,0.945,3QDJ,"same MHC, other peptide",C04 (n=5),rule 5 TM 0.94 vs 3QDJ,Retain in standard benchmark; exclude from strict subset
9NMW,2026-03-18,2025-03-04,no,5NME,92.3,94.5,73.7,22.2,100.0,no,0.944,3QDJ,"same MHC, other peptide",C04 (n=5),rule 5 TM 0.94 vs 3QDJ,Retain in standard benchmark; exclude from strict subset
9NMX,2026-03-18,2025-03-04,no,5NME,93.3,94.5,74.2,22.2,100.0,no,0.946,3QDJ,"same MHC, other peptide",C04 (n=5),rule 5 TM 0.95 vs 3QDJ,Retain in standard benchmark; exclude from strict subset
9NMY,2026-03-18,2025-03-04,no,5NME,93.3,94.5,74.2,22.2,100.0,no,0.946,6D78,"same MHC, other peptide",C04 (n=5),rule 5 TM 0.95 vs 6D78,Retain in standard benchmark; exclude from strict subset
9NU7,2026-07-29,2025-03-19,no,5SWS,91.2,66.4,59.0,100.0,100.0,5SWS (43%),0.893,1FO0,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C05 (n=4),rule 3 all-chain>40% vs 5SWS (min 43%),Retain in standard benchmark; exclude from strict subset
9NV2,2026-07-29,2025-03-20,no,5SWS,91.2,66.1,59.5,100.0,100.0,5SWS (43%),0.871,1FO0,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C05 (n=4),rule 3 all-chain>40% vs 5SWS (min 43%),Retain in standard benchmark; exclude from strict subset
9NV6,2026-07-29,2025-03-20,no,5SWS,91.2,66.1,59.5,100.0,100.0,5SWS (43%),0.869,5M01,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C05 (n=4),rule 3 all-chain>40% vs 5SWS (min 43%),Retain in standard benchmark; exclude from strict subset
9NVA,2026-07-29,2025-03-20,no,5SWZ,67.9,52.2,50.0,100.0,100.0,no,0.894,5M00,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C62 (n=1),,Retain—temporally blind with partial prior
9NVE,2026-07-29,2025-03-20,no,5SWS,91.2,66.1,59.5,100.0,100.0,5SWS (43%),0.866,1FO0,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C05 (n=4),rule 3 all-chain>40% vs 5SWS (min 43%),Retain in standard benchmark; exclude from strict subset
9NW2,2026-07-29,2025-03-21,no,5SWZ,65.1,92.7,73.4,100.0,100.0,no,0.893,1FO0,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C63 (n=1),,Retain—temporally blind with partial prior
9PBG,2026-03-18,2025-06-26,no,5EU6,90.9,91.9,74.9,22.2,99.4,no,0.883,2YPL,"same MHC, other peptide",C01 (n=11),,Combine with another target as one cluster
9PBH,2026-03-18,2025-06-26,no,5BRZ,90.9,91.9,74.9,22.2,99.4,no,0.869,3QDM,"same MHC, other peptide",C01 (n=11),,Combine with another target as one cluster
9RU5,2025-08-13,2025-07-03,no,5BRZ,92.0,92.8,63.7,22.2,100.0,no,0.85,2J8U,"same MHC, other peptide",C17 (n=3),,Combine with another target as one cluster
9RUP,2025-08-13,2025-07-04,no,5BRZ,92.0,92.8,63.7,22.2,100.0,no,0.52,6VM7,"same MHC, other peptide",C17 (n=3),,Combine with another target as one cluster
9RXM,2025-08-13,2025-07-11,no,5BRZ,59.4,92.8,64.5,22.2,100.0,no,0.899,5NMG,"same MHC, other peptide",C17 (n=3),,Combine with another target as one cluster
9WBD,2025-11-19,2025-08-13,no,3KPR,58.9,94.5,63.4,22.2,100.0,no,0.835,4MVB,"binary pMHC, no ternary; same MHC, other peptide",C64 (n=1),,Retain—temporally blind with partial prior
9WC2,2026-07-15,2025-08-15,no,6RSY,90.6,96.3,74.2,100.0,100.0,5WLG (41%),0.941,5NMG,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C27 (n=2),rule 2 Vb>=95:2VLR(96.3); rule 3 all-chain>40% vs 5WLG (min 41%); rule 5 TM 0.94 vs 5NMG,Exclude—high TCR redundancy
9WC3,2026-07-15,2025-08-15,no,7N6E,90.6,96.3,74.2,33.3,100.0,3PWP (44%),0.929,5NMG,"binary pMHC, no ternary; same MHC, other peptide",C27 (n=2),rule 2 Vb>=95:2VLR(96.3); rule 3 all-chain>40% vs 3PWP (min 44%); rule 5 TM 0.93 vs 5NMG,Exclude—high TCR redundancy
9YW4,2026-06-17,2025-10-23,no,2GJ6,90.4,86.5,70.4,33.3,100.0,no,0.925,5YXU,"binary pMHC, no ternary; same MHC, other peptide",C65 (n=1),rule 5 TM 0.93 vs 5YXU,Retain in standard benchmark; exclude from strict subset
9ZCL,2026-06-17,2025-11-23,no,4JRX,91.0,95.3,93.1,20.0,100.0,no,0.897,7N1E,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C66 (n=1),rule 2 concat>=90:4JRX(93.1); Vb>=95:4JRX(95.3),Exclude—high TCR redundancy
