target,mhc_class,closest_ref,closest_mean_id,tcra_id,tcrb_id,pep_id,mhc_id,tcr_concat_closest,max_tcra,max_tcrb,max_tcr_concat,rule2_hits,rule2_violation,rule3_ref,rule3_min_id,rule3_violation,pp_same_pmhc,pp_same_mhc_other_pep,pp_similar_tcr_other_pmhc,best_mhc_id,deposit_date,release_date_rcsb,temporal_violation,tm_best,tm_best_ref,tm_best_nchain,tm_best_map_ok,tm_full,tm_full_ref,tm_violation,rule3_strong,partial_prior,cluster,cluster_size,recommendation,rules_triggered,n_binary_candidates,binary_pep_identity,binary_pep_ref,binary_pmhc_prior
8ENH,Class I,3O4L,59.73503666712296,56.310679611650485,91.07142857142856,11.11111111111111,80.44692737430168,74.4186046511628,88.07339449541284,91.07142857142856,74.4186046511628,,False,,,False,False,True,False,100.0,2022-09-30,2024-03-27,False,0.8867,6BJ2,4,True,0.8867,6BJ2,False,False,"same MHC, other peptide",C10,3,Combine with another target as one cluster,,56,88.88888888888889,3LKP,False
8EO8,Class I,3O4L,59.73503666712296,56.310679611650485,91.07142857142856,11.11111111111111,80.44692737430168,74.4186046511628,88.07339449541284,91.07142857142856,74.4186046511628,,False,,,False,False,True,False,100.0,2022-10-02,2024-03-27,False,0.89104,6G9Q,4,True,0.89104,6G9Q,False,False,"same MHC, other peptide",C10,3,Combine with another target as one cluster,,56,88.88888888888889,3LKP,False
8ES8,Class I,6TRO,83.98214728489958,44.03669724770642,91.89189189189187,100.0,100.0,67.56756756756756,89.0909090909091,91.89189189189187,68.46846846846847,,False,6TRO,44.03669724770642,True,True,True,False,100.0,2022-10-13,2023-05-03,False,0.8651,3UTS,3,False,0.8476,3D39,False,False,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C46,1,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 6TRO (min 44%),226,100.0,1I4F,True
8ES9,Class I,6TRO,68.0654761904762,41.90476190476191,30.357142857142858,100.0,100.0,35.944700460829495,89.42307692307692,92.85714285714286,66.97674418604652,,False,,,False,True,True,False,100.0,2022-10-13,2023-05-03,False,0.74441,2AK4,3,False,0.69124,2UWE,False,False,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C47,1,Retain—temporally blind with partial prior,,226,100.0,1I4F,True
8F5A,Class I,5BRZ,69.46211656156407,81.81818181818181,92.5925925925926,22.22222222222222,81.21546961325967,87.1559633027523,89.81481481481481,94.44444444444444,87.1559633027523,,False,,,False,False,True,True,98.8950276243094,2022-11-12,2024-05-22,False,0.90614,5ISZ,4,True,0.90614,5ISZ,True,False,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C48,1,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.91 vs 5ISZ,38,100.0,5V5M,True
8GOM,Class I,6P64,76.51353010469033,88.88888888888889,95.49549549549548,22.22222222222222,99.4475138121547,91.8181818181818,91.66666666666669,95.49549549549548,91.8181818181818,concat>=90:6P64(91.8); Vb>=95:6P64(95.5),True,,,False,True,True,True,100.0,2022-08-25,2023-03-01,False,0.92834,3GSN,4,True,0.92834,3GSN,True,False,"same/similar pMHC; binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C23,2,Exclude—high TCR redundancy,rule 2 concat>=90:6P64(91.8); Vb>=95:6P64(95.5); rule 5 TM 0.93 vs 3GSN,226,100.0,7N1B,True
8GON,Class I,7N1E,71.31059004598724,38.3177570093458,58.035714285714285,88.88888888888889,100.0,48.18181818181818,91.66666666666669,95.49549549549548,91.8181818181818,concat>=90:6P64(91.8); Vb>=95:6P64(95.5),True,,,False,False,True,True,100.0,2022-08-25,2023-03-01,False,0.92514,5YXU,4,True,0.92514,5YXU,True,False,"similar TCR, other pMHC; same MHC, other peptide",C23,2,Exclude—high TCR redundancy,rule 2 concat>=90:6P64(91.8); Vb>=95:6P64(95.5); rule 5 TM 0.93 vs 5YXU,226,88.88888888888889,7N1B,False
8GVB,Class I,3VXR,81.2962962962963,35.18518518518518,90.0,100.0,100.0,62.84403669724771,90.9090909090909,93.69369369369367,64.84018264840182,,False,,,False,True,False,False,100.0,2022-09-14,2022-10-19,False,0.91182,3VXR,4,True,0.91182,3VXR,True,False,"same/similar pMHC; binary pMHC, no ternary",C02,6,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.91 vs 3VXR,29,100.0,3NFN,True
8GVG,Class I,3VXM,81.87905844155844,90.9090909090909,36.60714285714285,100.0,100.0,63.96396396396396,90.9090909090909,93.69369369369367,64.84018264840182,,False,,,False,True,False,False,100.0,2022-09-15,2022-10-19,False,0.90358,3VXR,4,True,0.90358,3VXR,True,False,"same/similar pMHC; binary pMHC, no ternary",C02,6,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.90 vs 3VXR,29,100.0,3VXO,True
8GVI,Class I,3VXR,81.2962962962963,35.18518518518518,90.0,100.0,100.0,62.84403669724771,90.9090909090909,94.5945945945946,64.84018264840182,,False,,,False,True,False,False,100.0,2022-09-15,2022-10-19,False,0.90793,3VXR,4,True,0.90793,3VXR,True,False,"same/similar pMHC; binary pMHC, no ternary",C02,6,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.91 vs 3VXR,29,100.0,3NFN,True
8I5C,Class I,6UON,70.02358490566037,65.09433962264151,63.888888888888886,66.66666666666667,84.44444444444444,64.18604651162791,65.09433962264151,95.32710280373831,68.83720930232558,Vb>=95:1G6R(95.3),True,6UON,63.888888888888886,True,False,True,False,100.0,2023-01-24,2023-08-23,False,0.9268,3QEQ,4,True,0.9268,3QEQ,True,False,"same MHC, other peptide",C24,2,Exclude—high TCR redundancy,rule 2 Vb>=95:1G6R(95.3); rule 3 all-chain>40% vs 6UON (min 64%); rule 5 TM 0.93 vs 3QEQ,18,22.22222222222222,1QVO,False
8I5D,Class I,5EU6,59.08243960567653,52.94117647058823,60.0,33.333333333333336,90.05524861878453,56.07476635514018,70.29702970297029,67.56756756756756,64.62264150943396,,False,,,False,False,True,False,100.0,2023-01-25,2023-08-23,False,0.93321,6EQB,4,True,0.93321,6EQB,True,False,"same MHC, other peptide",C49,1,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.93 vs 6EQB,18,22.22222222222222,1QVO,False
8PJG,Class II,6R0E,98.46153846153848,100.0,100.0,92.3076923076923,100.0,100.0,100.0,100.0,100.0,concat>=90:6R0E(100.0); Va>=95:6R0E(100.0); Vb>=95:6R0E(100.0),True,6R0E,92.3076923076923,True,True,True,False,100.0,2023-06-23,2024-06-19,False,0.98725,6R0E,5,True,0.98725,6R0E,True,True,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C50,1,Exclude—complete-complex similarity,rule 2 concat>=90:6R0E(100.0); Va>=95:6R0E(100.0); Vb>=95:6R0E(100.0); rule 3 all-chain>40% vs 6R0E (min 92%); rule 5 TM 0.99 vs 6R0E,58,92.3076923076923,1DLH,True
8QFY,Class I,7N1F,71.61759211530068,87.73584905660377,93.57798165137616,33.333333333333336,71.8232044198895,91.16279069767442,91.50943396226415,93.57798165137616,91.16279069767442,concat>=90:7N1F(91.2),True,,,False,False,True,True,99.4475138121547,2023-09-05,2024-05-15,False,0.86826,2BNR,4,True,0.86826,2BNR,False,False,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C21,2,Exclude—high TCR redundancy,rule 2 concat>=90:7N1F(91.2),11,100.0,6GH1,True
8RJ5,Class I,6VRM,68.95515604363655,89.62264150943396,97.24770642201835,0.0,88.95027624309392,92.62672811059907,92.3076923076923,97.24770642201835,92.62672811059907,concat>=90:6VRM(92.6); Vb>=95:6VRM(97.2),True,7N6E,44.44444444444444,True,False,True,True,100.0,2023-12-20,2025-01-01,False,0.90543,7N1F,3,False,0.89819,6G9Q,False,False,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C15,3,Exclude—high TCR redundancy,rule 2 concat>=90:6VRM(92.6); Vb>=95:6VRM(97.2); rule 3 all-chain>40% vs 7N6E (min 44%),29,100.0,7F4W,True
8RLT,Class I,1AO7,67.02503238718488,85.98130841121495,88.07339449541284,22.22222222222222,71.8232044198895,86.63594470046083,88.67924528301887,94.4954128440367,86.63594470046083,,False,7N6E,44.44444444444444,True,False,True,True,99.4475138121547,2024-01-03,2024-10-16,False,0.9173,7N1F,4,True,0.9173,7N1F,True,False,"similar TCR, other pMHC; same MHC, other peptide",C11,3,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 7N6E (min 44%); rule 5 TM 0.92 vs 7N1F,11,44.44444444444444,6GH1,False
8RLU,Class I,1AO7,67.02503238718488,85.98130841121495,88.07339449541284,22.22222222222222,71.8232044198895,86.63594470046083,88.67924528301887,94.4954128440367,86.63594470046083,,False,6VMC,44.44444444444444,True,False,True,True,99.4475138121547,2024-01-03,2024-10-16,False,0.91624,7N1F,4,True,0.91624,7N1F,True,False,"similar TCR, other pMHC; same MHC, other peptide",C11,3,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 6VMC (min 44%); rule 5 TM 0.92 vs 7N1F,11,44.44444444444444,6GH1,False
8RLV,Class I,1AO7,67.02503238718488,85.98130841121495,88.07339449541284,22.22222222222222,71.8232044198895,86.63594470046083,88.67924528301887,94.4954128440367,86.63594470046083,,False,2YPL,44.44444444444444,True,False,True,True,99.4475138121547,2024-01-03,2024-10-16,False,0.91857,7N1F,4,True,0.91857,7N1F,True,False,"similar TCR, other pMHC; same MHC, other peptide",C11,3,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 2YPL (min 44%); rule 5 TM 0.92 vs 7N1F,11,44.44444444444444,6GH1,False
8RRO,Class I,1NAM,55.69347038738543,33.027522935779814,91.8181818181818,25.0,72.92817679558011,62.55707762557078,79.81651376146789,98.1818181818182,64.84018264840182,Vb>=95:1KJ2(98.2),True,,,False,False,True,False,96.13259668508287,2024-01-23,2024-11-20,False,0.87725,5JZI,4,True,0.87725,5JZI,False,False,"same MHC, other peptide",C51,1,Exclude—high TCR redundancy,rule 2 Vb>=95:1KJ2(98.2),19,22.22222222222222,6O9B,False
8RYM,Class I,2BNQ,68.7349002494611,90.65420560747664,80.9090909090909,11.11111111111111,92.26519337016576,85.3211009174312,91.58878504672896,86.48648648648648,85.3211009174312,,False,,,False,False,True,True,96.13259668508287,2024-02-09,2024-09-04,False,0.89402,3GSN,4,True,0.89402,3GSN,False,False,"similar TCR, other pMHC; same MHC, other peptide",C12,3,Combine with another target as one cluster,,19,33.333333333333336,4MJ5,False
8RYN,Class I,2BNQ,68.16860190691966,90.65420560747664,80.9090909090909,11.11111111111111,90.0,85.3211009174312,91.58878504672896,86.48648648648648,85.3211009174312,,False,,,False,False,True,True,100.0,2024-02-09,2024-09-04,False,0.89794,3GSN,4,True,0.89794,3GSN,False,False,"similar TCR, other pMHC; same MHC, other peptide",C12,3,Combine with another target as one cluster,,18,33.333333333333336,4MJ5,False
8RYO,Class I,2BNQ,68.03396567002184,87.85046728971963,80.9090909090909,11.11111111111111,92.26519337016576,83.94495412844037,88.78504672897196,86.48648648648648,83.94495412844037,,False,,,False,False,True,True,96.13259668508287,2024-02-09,2024-09-04,False,0.88473,3GSN,4,True,0.88473,3GSN,False,False,"similar TCR, other pMHC; same MHC, other peptide",C12,3,Combine with another target as one cluster,,19,33.333333333333336,4MJ5,False
8RYP,Class I,5EU6,63.82827591644562,90.8256880733945,50.0,22.22222222222222,92.26519337016576,70.31963470319634,91.66666666666669,97.27272727272728,73.51598173515981,Vb>=95:6AVG(97.3),True,,,False,False,True,False,96.13259668508287,2024-02-09,2024-09-04,False,0.90836,2BNR,3,False,0.90823,2JCC,True,False,"same MHC, other peptide",C01,11,Exclude—high TCR redundancy,rule 2 Vb>=95:6AVG(97.3); rule 5 TM 0.91 vs 2JCC,19,33.333333333333336,4MJ5,False
8RYQ,Class I,5BRZ,63.40596330275229,88.07339449541284,60.55045871559633,11.11111111111111,93.88888888888889,73.97260273972603,91.66666666666669,97.27272727272728,73.97260273972603,Vb>=95:6AVG(97.3),True,,,False,False,True,False,100.0,2024-02-09,2024-09-04,False,0.92397,3VXS,3,False,0.90671,6RSY,True,False,"same MHC, other peptide",C01,11,Exclude—high TCR redundancy,rule 2 Vb>=95:6AVG(97.3); rule 5 TM 0.91 vs 6RSY,18,33.333333333333336,4MJ5,False
8SHI,Class I,4G8G,60.14055650848104,34.905660377358494,94.54545454545456,25.0,86.11111111111111,65.27777777777777,89.32038834951456,97.22222222222224,71.29629629629629,Vb>=95:5MEN(97.2),True,,,False,False,False,False,92.77777777777776,2023-04-14,2023-06-28,False,0.87729,5IVX,4,True,0.87729,5IVX,False,False,"binary pMHC, no ternary",C52,1,Exclude—high TCR redundancy,rule 2 Vb>=95:5MEN(97.2),5,100.0,5W67,True
8V4Z,Class I,2NX5,60.55194805194805,75.23809523809524,33.63636363636363,33.333333333333336,100.0,53.7037037037037,75.23809523809524,92.7927927927928,61.11111111111112,,False,,,False,False,True,False,100.0,2023-11-29,2024-12-18,False,0.93349,5NMG,4,True,0.93349,5NMG,True,False,"same MHC, other peptide",C13,3,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.93 vs 5NMG,56,88.88888888888889,3LKP,False
8V50,Class I,2NX5,60.55194805194805,75.23809523809524,33.63636363636363,33.333333333333336,100.0,53.7037037037037,75.23809523809524,92.7927927927928,61.11111111111112,,False,,,False,False,True,False,100.0,2023-11-30,2024-12-18,False,0.92907,6RSY,3,False,0.92206,5NMG,True,False,"same MHC, other peptide",C13,3,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.92 vs 5NMG,56,88.88888888888889,3LKP,False
8V51,Class I,2NX5,60.55194805194805,75.23809523809524,33.63636363636363,33.333333333333336,100.0,53.7037037037037,75.23809523809524,92.7927927927928,61.11111111111112,,False,,,False,False,True,False,100.0,2023-11-30,2024-12-18,False,0.93455,5NMG,4,True,0.93455,5NMG,True,False,"binary pMHC, no ternary; same MHC, other peptide",C13,3,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.93 vs 5NMG,65,100.0,3LKS,True
8VCX,Class II,6XCP,93.33333333333334,100.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,concat>=90:6XCP(100.0); Va>=95:6XCP(100.0); Vb>=95:6XCP(100.0),True,6XCP,66.66666666666667,True,False,True,False,100.0,2023-12-14,2024-08-07,False,0.83626,3QIW,5,True,0.83626,3QIW,False,False,"same MHC, other peptide",C14,3,Exclude—high TCR redundancy,rule 2 concat>=90:6XCP(100.0); Va>=95:6XCP(100.0); Vb>=95:6XCP(100.0); rule 3 all-chain>40% vs 6XCP (min 67%),4,40.0,5UJT,False
8VCY,Class II,6XCP,93.33333333333334,100.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,concat>=90:6XCP(100.0); Va>=95:6XCP(100.0); Vb>=95:6XCP(100.0),True,6XCP,66.66666666666667,True,False,True,False,100.0,2023-12-14,2024-08-07,False,0.83478,3QIW,4,False,0.82447,1ZGL,False,False,"same MHC, other peptide",C14,3,Exclude—high TCR redundancy,rule 2 concat>=90:6XCP(100.0); Va>=95:6XCP(100.0); Vb>=95:6XCP(100.0); rule 3 all-chain>40% vs 6XCP (min 67%),4,40.0,2NNA,False
8VD2,Class II,6XCP,90.91744035140262,90.56603773584904,92.5925925925926,71.42857142857143,100.0,91.58878504672896,91.42857142857144,98.13084112149532,91.58878504672896,concat>=90:6XCP(91.6); Vb>=95:6DFX(98.1),True,6XCP,71.42857142857143,True,False,True,False,100.0,2023-12-14,2024-08-07,False,0.86261,6R0E,4,False,0.83482,3QIU,False,True,"same MHC, other peptide",C14,3,Exclude—complete-complex similarity,rule 2 concat>=90:6XCP(91.6); Vb>=95:6DFX(98.1); rule 3 all-chain>40% vs 6XCP (min 71%),4,35.714285714285715,5UJT,False
8WTE,Class I,6UON,62.4640879196954,64.48598130841121,34.25925925925926,66.66666666666667,84.44444444444444,48.8479262672811,64.48598130841121,54.46428571428572,50.0,,False,,,False,False,True,False,100.0,2023-10-18,2024-05-01,False,0.90407,5NMG,4,True,0.90407,5NMG,True,False,"same MHC, other peptide",C25,2,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.90 vs 5NMG,18,22.22222222222222,1QVO,False
8WUL,Class I,6UON,62.4640879196954,64.48598130841121,34.25925925925926,66.66666666666667,84.44444444444444,48.8479262672811,64.48598130841121,54.46428571428572,52.07373271889401,,False,,,False,False,True,False,100.0,2023-10-20,2024-05-01,False,0.90936,1LP9,3,False,0.90659,5NMG,True,False,"same MHC, other peptide",C25,2,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.91 vs 5NMG,18,22.22222222222222,1QVO,False
8YE4,Class I,6VRM,69.89855227005165,93.39622641509432,97.24770642201835,0.0,88.95027624309392,94.03669724770644,93.39622641509432,97.24770642201835,94.03669724770644,concat>=90:6VRM(94.0); Vb>=95:6VRM(97.2),True,7N6E,44.44444444444444,True,False,True,True,100.0,2024-02-21,2024-08-21,False,0.91144,6VRM,3,False,0.89701,7N1F,False,False,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C15,3,Exclude—high TCR redundancy,rule 2 concat>=90:6VRM(94.0); Vb>=95:6VRM(97.2); rule 3 all-chain>40% vs 7N6E (min 44%),29,100.0,7F4W,True
8YIV,Class I,6BJ3,60.05630630630631,91.66666666666669,58.55855855855856,11.11111111111111,78.88888888888889,74.54545454545455,94.44444444444444,94.44444444444444,74.54545454545455,,False,,,False,False,True,False,100.0,2024-02-29,2024-12-04,False,0.89798,3UTS,4,True,0.89798,3UTS,False,False,"binary pMHC, no ternary; same MHC, other peptide",C26,2,Combine with another target as one cluster,,5,100.0,6MPP,True
8YJ2,Class I,6BJ3,60.05630630630631,91.66666666666669,58.55855855855856,11.11111111111111,78.88888888888889,74.54545454545455,94.44444444444444,94.44444444444444,74.54545454545455,,False,,,False,False,True,False,100.0,2024-02-29,2024-12-04,False,0.90646,6AM5,4,True,0.90646,6AM5,True,False,"binary pMHC, no ternary; same MHC, other peptide",C26,2,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.91 vs 6AM5,5,90.0,6MPP,True
9D95,Class I,3QEQ,56.695648846652624,92.07920792079209,31.818181818181817,22.22222222222222,80.66298342541437,60.66350710900474,92.07920792079209,95.53571428571428,66.51162790697674,Vb>=95:3O4L(95.5),True,,,False,False,False,False,93.37016574585635,2024-08-21,2025-09-03,False,0.90157,3QEQ,4,True,0.90157,3QEQ,True,False,none,C53,1,Exclude—high TCR redundancy,rule 2 Vb>=95:3O4L(95.5); rule 5 TM 0.90 vs 3QEQ,3,37.5,4O2F,False
9EJG,Class II,6U3N,69.92043322531126,31.73076923076923,69.0909090909091,50.0,99.390243902439,50.93457943925234,50.0,92.72727272727272,67.28971962616822,,False,6PX6,40.90909090909091,True,False,True,False,100.0,2024-11-27,2025-03-26,False,0.5476,6R0E,5,False,0.51944,6PY2,False,False,"same MHC, other peptide",C16,3,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 6PX6 (min 41%),6,80.0,1S9V,False
9EJH,Class II,6U3N,66.83100233100232,31.73076923076923,69.0909090909091,33.333333333333336,100.0,50.93457943925234,50.0,92.72727272727272,67.28971962616822,,False,,,False,False,True,False,100.0,2024-11-27,2025-03-26,False,0.53155,7N1F,4,False,0.51187,6R0E,False,False,"binary pMHC, no ternary; same MHC, other peptide",C16,3,Combine with another target as one cluster,,6,100.0,5KSV,True
9EJI,Class II,6PX6,71.45104895104895,41.34615384615385,40.90909090909091,75.0,100.0,41.12149532710281,50.0,92.72727272727272,67.28971962616822,,False,6PX6,40.90909090909091,True,False,False,False,100.0,2024-11-27,2025-03-26,False,0.54509,4JFF,3,False,0.50869,6PY2,False,False,none,C16,3,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 6PX6 (min 41%),0,0.0,,False
9GV6,Class I,6R2L,65.217045520273,32.35294117647059,84.070796460177,44.44444444444444,100.0,58.986175115207374,86.40776699029126,91.15044247787613,64.48598130841121,,False,1MI5,44.44444444444444,True,False,True,False,100.0,2024-09-23,2025-04-23,False,0.84861,6EQA,4,True,0.84861,6EQA,False,False,"same MHC, other peptide",C54,1,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 1MI5 (min 44%),226,50.0,4UQ3,False
9GV7,Class I,5E9D,74.44350042480885,85.04672897196262,72.72727272727273,40.0,100.0,78.08219178082192,89.62264150943396,84.40366972477064,80.18433179723502,,False,,,False,False,True,True,100.0,2024-09-23,2025-04-23,False,0.69035,1KJ2,3,False,0.51346,5M00,False,False,"similar TCR, other pMHC; same MHC, other peptide",C55,1,Retain—temporally blind with partial prior,,226,55.55555555555556,3REW,False
9HLJ,Class I,3KPS,60.48611111111112,29.52380952380953,94.64285714285714,33.333333333333336,84.44444444444444,62.27272727272727,90.29126213592232,94.64285714285714,62.72727272727273,,False,,,False,False,True,False,96.11111111111111,2024-12-05,2025-08-06,False,0.87981,3GSN,4,True,0.87981,3GSN,False,False,"same MHC, other peptide",C56,1,Retain—temporally blind with partial prior,,13,33.333333333333336,6JTN,False
9IKY,Class I,6UON,70.02358490566037,65.09433962264151,63.888888888888886,66.66666666666667,84.44444444444444,64.18604651162791,65.09433962264151,95.32710280373831,68.83720930232558,Vb>=95:1G6R(95.3),True,6UON,63.888888888888886,True,False,True,False,100.0,2024-06-29,2025-06-18,False,0.92583,3QEQ,4,True,0.92583,3QEQ,True,False,"same MHC, other peptide",C24,2,Exclude—high TCR redundancy,rule 2 Vb>=95:1G6R(95.3); rule 3 all-chain>40% vs 6UON (min 64%); rule 5 TM 0.93 vs 3QEQ,18,22.22222222222222,1QVO,False
9J4T,Class I,4G8G,60.77280480857075,38.613861386138616,81.81818181818181,33.333333333333336,89.32584269662921,61.13744075829384,91.08910891089108,86.36363636363636,65.87677725118483,,False,,,False,False,True,False,100.0,2024-08-10,2025-08-13,False,0.93744,5M02,3,False,0.88516,1NAM,False,False,"binary pMHC, no ternary; same MHC, other peptide",C57,1,Retain—temporally blind with partial prior,,21,100.0,7LG0,True
9J4U,Class I,5NMF,63.506625891947,66.66666666666667,65.13761467889908,22.22222222222222,100.0,65.5813953488372,89.32038834951456,94.54545454545456,66.98113207547169,,False,,,False,False,True,False,100.0,2024-08-10,2025-08-13,False,0.91378,5NHT,4,True,0.91378,5NHT,True,False,"binary pMHC, no ternary; same MHC, other peptide",C58,1,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.91 vs 5NHT,226,100.0,7KGQ,True
9K2I,Class I,5TEZ,61.62878787878788,97.22222222222224,38.18181818181818,11.11111111111111,100.0,66.81818181818181,97.22222222222224,81.41592920353982,66.81818181818181,Va>=95:5TEZ(97.2),True,5NHT,42.34234234234234,True,False,True,False,100.0,2024-10-17,2025-10-22,False,0.9005,3GSN,4,True,0.9005,3GSN,True,False,"same MHC, other peptide",C59,1,Exclude—high TCR redundancy,rule 2 Va>=95:5TEZ(97.2); rule 3 all-chain>40% vs 5NHT (min 42%); rule 5 TM 0.90 vs 3GSN,226,55.55555555555556,4GKN,False
9K2R,Class I,5ISZ,58.27887574189983,87.85046728971963,51.37614678899082,11.11111111111111,82.77777777777777,69.44444444444444,87.85046728971963,92.5925925925926,70.96774193548387,,False,,,False,False,True,False,96.11111111111111,2024-10-18,2025-09-17,False,0.91282,5TEZ,3,False,0.87496,6VQO,False,False,"same MHC, other peptide",C60,1,Retain—temporally blind with partial prior,,13,33.333333333333336,5VGD,False
9LLU,Class I,6BJ2,60.828981786009656,35.84905660377358,93.57798165137616,33.333333333333336,80.55555555555556,63.92694063926941,88.67924528301887,93.57798165137616,63.92694063926941,,False,5C08,43.36283185840708,True,False,True,False,100.0,2025-01-17,2026-07-22,False,0.49088,3VXR,3,False,0.49058,5D2L,False,False,"same MHC, other peptide",C61,1,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 5C08 (min 43%),226,55.55555555555556,5N1Y,False
9NDS,Class I,4FTV,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,concat>=90:4FTV(100.0); Va>=95:1AO7(100.0); Vb>=95:4FTV(100.0),True,4FTV,100.0,True,True,True,True,100.0,2025-02-18,2026-01-14,False,0.96768,3QFJ,4,True,0.96768,3QFJ,True,True,"same/similar pMHC; binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C09,3,Exclude—complete-complex similarity,rule 2 concat>=90:4FTV(100.0); Va>=95:1AO7(100.0); Vb>=95:4FTV(100.0); rule 3 all-chain>40% vs 4FTV (min 100%); rule 5 TM 0.97 vs 3QFJ,226,100.0,1DUY,True
9NMU,Class I,5NME,68.0379126480044,88.46153846153847,61.46788990825688,22.22222222222222,100.0,74.64788732394366,94.23076923076924,94.4954128440367,74.64788732394366,,False,,,False,False,True,False,100.0,2025-03-04,2026-03-18,False,0.94745,6AM5,3,False,0.94613,3QDJ,True,False,"same MHC, other peptide",C04,5,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.95 vs 3QDJ,226,44.44444444444444,1HHG,False
9NMV,Class I,5NME,67.79752803261978,87.5,61.46788990825688,22.22222222222222,100.0,74.17840375586854,93.26923076923076,94.4954128440367,74.17840375586854,,False,,,False,False,True,False,100.0,2025-03-04,2026-03-18,False,0.94867,6AM5,3,False,0.94488,3QDJ,True,False,"same MHC, other peptide",C04,5,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.94 vs 3QDJ,226,44.44444444444444,1HHG,False
9NMW,Class I,5NME,67.55714341723517,86.53846153846153,61.46788990825688,22.22222222222222,100.0,73.70892018779342,92.3076923076923,94.4954128440367,73.70892018779342,,False,,,False,False,True,False,100.0,2025-03-04,2026-03-18,False,0.94673,6AM5,3,False,0.94444,3QDJ,True,False,"same MHC, other peptide",C04,5,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.94 vs 3QDJ,226,44.44444444444444,1HHG,False
9NMX,Class I,5NME,67.79752803261978,87.5,61.46788990825688,22.22222222222222,100.0,74.17840375586854,93.26923076923076,94.4954128440367,74.17840375586854,,False,,,False,False,True,False,100.0,2025-03-04,2026-03-18,False,0.94594,4L3E,3,False,0.94563,3QDJ,True,False,"same MHC, other peptide",C04,5,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.95 vs 3QDJ,226,44.44444444444444,1HHG,False
9NMY,Class I,5NME,67.79752803261978,87.5,61.46788990825688,22.22222222222222,100.0,74.17840375586854,93.26923076923076,94.4954128440367,74.17840375586854,,False,,,False,False,True,False,100.0,2025-03-04,2026-03-18,False,0.94943,6AM5,3,False,0.94633,6D78,True,False,"same MHC, other peptide",C04,5,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.95 vs 6D78,226,44.44444444444444,1HHG,False
9NU7,Class I,5SWS,71.55963302752293,43.11926605504587,43.11926605504587,100.0,100.0,43.11926605504587,91.15044247787613,66.36363636363636,59.009009009009006,,False,5SWS,43.11926605504587,True,True,True,False,100.0,2025-03-19,2026-07-29,False,0.89279,1FO0,4,True,0.89279,1FO0,False,False,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C05,4,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 5SWS (min 43%),70,100.0,1HOC,True
9NV2,Class I,5SWS,71.55963302752293,43.11926605504587,43.11926605504587,100.0,100.0,43.11926605504587,91.15044247787613,66.07142857142857,59.45945945945946,,False,5SWS,43.11926605504587,True,True,True,False,100.0,2025-03-20,2026-07-29,False,0.87716,1NAM,3,False,0.87073,1FO0,False,False,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C05,4,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 5SWS (min 43%),70,100.0,1HOC,True
