model,config,pdb_id,mhc_class,review_status,chain,chain_role,pdockq2,if_plddt,if_pae_norm,n_contacts,contacts_chains,mean_pdockq2,n_chains,global_dockq
AF3,af3-server,8EO8,Class I,READY,B,peptide,0.2305,87.02,0.7321,52,AD,0.1592,4,0.4549
AF3,af3-server,8EO8,Class I,READY,C,TCRa,0.1278,74.17,0.7329,45,AD,0.1592,4,0.4549
AF3,af3-server,8EO8,Class I,READY,D,TCRb,0.0331,65.06,0.5164,77,ABC,0.1592,4,0.4549
AF3,af3-server,8ES8,Class I,READY,A,MHC,0.1707,93.65,0.6286,61,BCD,0.1703,4,0.7029
AF3,af3-server,8ES8,Class I,READY,B,peptide,0.2846,91.16,0.7379,48,ACD,0.1703,4,0.7029
AF3,af3-server,8ES8,Class I,READY,C,TCRa,0.0907,77.72,0.6323,66,ABD,0.1703,4,0.7029
AF3,af3-server,8ES8,Class I,READY,D,TCRb,0.1352,76.92,0.718,51,ABC,0.1703,4,0.7029
AF3,af3-server,8ES9,Class I,READY,A,MHC,0.7324,93.87,0.9342,40,BD,0.6297,4,0.3678
AF3,af3-server,8ES9,Class I,READY,B,peptide,0.5924,90.04,0.9102,43,ACD,0.6297,4,0.3678
AF3,af3-server,8ES9,Class I,READY,C,TCRa,0.6985,91.43,0.9439,32,BD,0.6297,4,0.3678
AF3,af3-server,8ES9,Class I,READY,D,TCRb,0.4957,87.46,0.8903,51,ABC,0.6297,4,0.3678
AF3,af3-server,8F5A,Class I,READY,A,MHC,0.5133,88.58,0.8877,60,BCD,0.3815,4,0.6308
AF3,af3-server,8F5A,Class I,READY,B,peptide,0.2415,80.12,0.8048,51,ACD,0.3815,4,0.6308
AF3,af3-server,8F5A,Class I,READY,C,TCRa,0.4458,84.95,0.8904,55,ABD,0.3815,4,0.6308
AF3,af3-server,8F5A,Class I,READY,D,TCRb,0.3252,82.07,0.8483,76,ABC,0.3815,4,0.6308
AF3,af3-server,8GOM,Class I,READY,A,MHC,0.6632,92.27,0.9196,62,BCD,0.4743,4,0.7061
AF3,af3-server,8GOM,Class I,READY,B,peptide,0.553,88.33,0.9093,53,ACD,0.4743,4,0.7061
AF3,af3-server,8GOM,Class I,READY,C,TCRa,0.3693,83.55,0.8613,52,ABD,0.4743,4,0.7061
AF3,af3-server,8GOM,Class I,READY,D,TCRb,0.3116,81.85,0.8413,49,ABC,0.4743,4,0.7061
AF3,af3-server,8GON,Class I,READY,A,MHC,0.2209,92.24,0.683,40,BCD,0.2163,4,0.3691
AF3,af3-server,8GON,Class I,READY,B,peptide,0.2747,90.06,0.7401,36,AD,0.2163,4,0.3691
AF3,af3-server,8GON,Class I,READY,C,TCRa,0.3085,83.22,0.8252,30,AD,0.2163,4,0.3691
AF3,af3-server,8GON,Class I,READY,D,TCRb,0.061,74.22,0.5809,50,ABC,0.2163,4,0.3691
AF3,af3-server,8GVB,Class I,READY,A,MHC,0.9148,97.46,0.982,67,BCD,0.8455,4,0.8287
AF3,af3-server,8GVB,Class I,READY,B,peptide,0.9218,97.6,0.9841,38,ACD,0.8455,4,0.8287
AF3,af3-server,8GVB,Class I,READY,C,TCRa,0.6587,90.75,0.933,64,ABD,0.8455,4,0.8287
AF3,af3-server,8GVB,Class I,READY,D,TCRb,0.8866,96.58,0.9773,65,ABC,0.8455,4,0.8287
AF3,af3-server,8GVG,Class I,READY,A,MHC,0.8898,96.63,0.9783,69,BCD,0.8154,4,0.8254
AF3,af3-server,8GVG,Class I,READY,B,peptide,0.8987,96.86,0.9802,37,ACD,0.8154,4,0.8254
AF3,af3-server,8GVG,Class I,READY,C,TCRa,0.6147,89.2,0.929,61,ABD,0.8154,4,0.8254
AF3,af3-server,8GVG,Class I,READY,D,TCRb,0.8584,95.43,0.9755,61,ABC,0.8154,4,0.8254
AF3,af3-server,8GVI,Class I,READY,A,MHC,0.9334,98.04,0.9855,71,BCD,0.8903,4,0.8825
AF3,af3-server,8GVI,Class I,READY,B,peptide,0.9412,98.31,0.9867,38,ACD,0.8903,4,0.8825
AF3,af3-server,8GVI,Class I,READY,C,TCRa,0.7955,94.09,0.9602,62,ABD,0.8903,4,0.8825
AF3,af3-server,8GVI,Class I,READY,D,TCRb,0.8912,96.84,0.9768,61,ABC,0.8903,4,0.8825
AF3,af3-server,8I5C,Class I,READY,A,MHC,0.7489,92.24,0.9582,61,BCD,0.6543,4,0.7688
AF3,af3-server,8I5C,Class I,READY,B,peptide,0.5655,87.99,0.9187,52,ACD,0.6543,4,0.7688
AF3,af3-server,8I5C,Class I,READY,C,TCRa,0.7748,93.57,0.9562,50,ABD,0.6543,4,0.7688
AF3,af3-server,8I5C,Class I,READY,D,TCRb,0.5279,87.66,0.9041,57,ABC,0.6543,4,0.7688
AF3,af3-server,8I5D,Class I,READY,A,MHC,0.5785,89.4,0.9103,56,BCD,0.4642,4,0.6327
AF3,af3-server,8I5D,Class I,READY,B,peptide,0.339,83.35,0.8444,58,ACD,0.4642,4,0.6327
AF3,af3-server,8I5D,Class I,READY,C,TCRa,0.4768,86.14,0.8943,52,ABD,0.4642,4,0.6327
AF3,af3-server,8I5D,Class I,READY,D,TCRb,0.4624,86.3,0.8852,58,ABC,0.4642,4,0.6327
AF3,af3-server,8PJG,Class II,READY,A,MHCa,0.8658,96.66,0.9666,129,BCDE,0.8755,5,0.9453
AF3,af3-server,8PJG,Class II,READY,B,peptide,0.908,97.47,0.9786,57,ACDE,0.8755,5,0.9453
AF3,af3-server,8PJG,Class II,READY,C,MHCb,0.9071,97.57,0.9771,119,ABDE,0.8755,5,0.9453
AF3,af3-server,8PJG,Class II,READY,D,TCRa,0.8024,95.05,0.9535,59,ABCE,0.8755,5,0.9453
AF3,af3-server,8PJG,Class II,READY,E,TCRb,0.8944,96.92,0.9775,48,ABCD,0.8755,5,0.9453
AF3,af3-server,8QFY,Class I,READY,A,MHC,0.9402,98.22,0.9872,59,BCD,0.9126,4,0.937
AF3,af3-server,8QFY,Class I,READY,B,peptide,0.9205,97.8,0.9814,44,ACD,0.9126,4,0.937
AF3,af3-server,8QFY,Class I,READY,C,TCRa,0.8973,96.78,0.9804,33,ABD,0.9126,4,0.937
AF3,af3-server,8QFY,Class I,READY,D,TCRb,0.8925,96.56,0.9803,42,ABC,0.9126,4,0.937
AF3,af3-server,8RJ5,Class I,READY,A,MHC,0.6369,90.58,0.925,60,BCD,0.5867,4,0.5579
AF3,af3-server,8RJ5,Class I,READY,B,peptide,0.6398,88.92,0.9436,43,ACD,0.5867,4,0.5579
AF3,af3-server,8RJ5,Class I,READY,C,TCRa,0.533,86.52,0.9186,63,ABD,0.5867,4,0.5579
AF3,af3-server,8RJ5,Class I,READY,D,TCRb,0.5368,86.73,0.9182,58,ABC,0.5867,4,0.5579
AF3,af3-server,8RLT,Class I,READY,A,MHC,0.9036,97.05,0.9807,50,BCD,0.8443,4,0.8923
AF3,af3-server,8RLT,Class I,READY,B,peptide,0.8648,95.96,0.9731,45,ACD,0.8443,4,0.8923
AF3,af3-server,8RLT,Class I,READY,C,TCRa,0.7972,94.28,0.959,60,ABD,0.8443,4,0.8923
AF3,af3-server,8RLT,Class I,READY,D,TCRb,0.8114,94.55,0.9627,61,ABC,0.8443,4,0.8923
AF3,af3-server,8RLU,Class I,READY,A,MHC,0.7478,92.06,0.9595,49,BCD,0.6547,4,0.8705
AF3,af3-server,8RLU,Class I,READY,B,peptide,0.7894,92.47,0.9742,38,ACD,0.6547,4,0.8705
AF3,af3-server,8RLU,Class I,READY,C,TCRa,0.5094,86.67,0.9052,57,ABD,0.6547,4,0.8705
AF3,af3-server,8RLU,Class I,READY,D,TCRb,0.5721,87.87,0.9231,54,ABC,0.6547,4,0.8705
AF3,af3-server,8RLV,Class I,READY,A,MHC,0.8967,96.58,0.9821,44,BCD,0.8549,4,0.8271
AF3,af3-server,8RLV,Class I,READY,B,peptide,0.896,96.5,0.9825,40,ACD,0.8549,4,0.8271
AF3,af3-server,8RLV,Class I,READY,C,TCRa,0.7987,94.04,0.9621,57,ABD,0.8549,4,0.8271
AF3,af3-server,8RLV,Class I,READY,D,TCRb,0.828,94.84,0.9674,51,ABC,0.8549,4,0.8271
AF3,af3-server,8RRO,Class I,READY,A,MHC,0.6104,92.42,0.8948,52,BCD,0.4742,4,0.7501
AF3,af3-server,8RRO,Class I,READY,B,peptide,0.3119,85.51,0.8054,66,ACD,0.4742,4,0.7501
AF3,af3-server,8RRO,Class I,READY,C,TCRa,0.4124,85.4,0.8674,62,ABD,0.4742,4,0.7501
AF3,af3-server,8RRO,Class I,READY,D,TCRb,0.5622,91.31,0.8838,72,ABC,0.4742,4,0.7501
AF3,af3-server,8RYM,Class I,READY,A,MHC,0.2983,85.85,0.7932,55,BCD,0.2805,4,0.7551
AF3,af3-server,8RYM,Class I,READY,B,peptide,0.3957,86.23,0.8497,50,ACD,0.2805,4,0.7551
AF3,af3-server,8RYM,Class I,READY,C,TCRa,0.193,79.75,0.7626,62,ABD,0.2805,4,0.7551
AF3,af3-server,8RYM,Class I,READY,D,TCRb,0.2352,79.68,0.8037,59,ABC,0.2805,4,0.7551
AF3,af3-server,8RYN,Class I,READY,A,MHC,0.6244,90.7,0.918,46,BCD,0.5372,4,0.8698
AF3,af3-server,8RYN,Class I,READY,B,peptide,0.5712,89.65,0.9043,54,ACD,0.5372,4,0.8698
AF3,af3-server,8RYN,Class I,READY,C,TCRa,0.411,85.06,0.8702,56,ABD,0.5372,4,0.8698
AF3,af3-server,8RYN,Class I,READY,D,TCRb,0.5423,87.76,0.91,50,ABC,0.5372,4,0.8698
AF3,af3-server,8RYO,Class I,READY,A,MHC,0.1557,92.34,0.6218,64,BCD,0.3075,4,0.2813
AF3,af3-server,8RYO,Class I,READY,B,peptide,0.7789,92.8,0.9659,31,A,0.3075,4,0.2813
AF3,af3-server,8RYO,Class I,READY,C,TCRa,0.1706,81.6,0.7212,58,AD,0.3075,4,0.2813
AF3,af3-server,8RYO,Class I,READY,D,TCRb,0.125,75.39,0.7166,53,AC,0.3075,4,0.2813
AF3,af3-server,8RYP,Class I,READY,A,MHC,0.8512,95.36,0.9728,47,BCD,0.6195,4,0.8634
AF3,af3-server,8RYP,Class I,READY,B,peptide,0.7435,93.28,0.9451,52,ACD,0.6195,4,0.8634
AF3,af3-server,8RYP,Class I,READY,C,TCRa,0.4584,86.54,0.8806,57,ABD,0.6195,4,0.8634
AF3,af3-server,8RYP,Class I,READY,D,TCRb,0.4249,86.48,0.8635,60,ABC,0.6195,4,0.8634
AF3,af3-server,8RYQ,Class I,READY,A,MHC,0.9038,96.9,0.9823,46,BCD,0.7703,4,0.8788
AF3,af3-server,8RYQ,Class I,READY,B,peptide,0.8591,96.02,0.9698,51,ACD,0.7703,4,0.8788
AF3,af3-server,8RYQ,Class I,READY,C,TCRa,0.7469,93.04,0.949,58,ABD,0.7703,4,0.8788
AF3,af3-server,8RYQ,Class I,READY,D,TCRb,0.5713,89.91,0.9018,63,ABC,0.7703,4,0.8788
AF3,af3-server,8SHI,Class I,READY,A,MHC,0.8683,95.41,0.9804,42,BCD,0.8291,4,0.5471
AF3,af3-server,8SHI,Class I,READY,B,peptide,0.863,95.53,0.9766,23,A,0.8291,4,0.5471
AF3,af3-server,8SHI,Class I,READY,C,TCRa,0.7787,92.56,0.9683,55,AD,0.8291,4,0.5471
AF3,af3-server,8SHI,Class I,READY,D,TCRb,0.8065,93.9,0.9672,56,AC,0.8291,4,0.5471
AF3,af3-server,8V4Z,Class I,READY,A,MHC,0.8563,95.38,0.975,56,BCD,0.7371,4,0.8071
AF3,af3-server,8V4Z,Class I,READY,B,peptide,0.8258,94.79,0.9669,47,ACD,0.7371,4,0.8071
AF3,af3-server,8V4Z,Class I,READY,C,TCRa,0.7153,91.77,0.9479,57,ABD,0.7371,4,0.8071
AF3,af3-server,8V4Z,Class I,READY,D,TCRb,0.551,88.83,0.9032,62,ABC,0.7371,4,0.8071
AF3,af3-server,8V50,Class I,READY,A,MHC,0.8505,95.31,0.973,57,BCD,0.7454,4,0.8112
AF3,af3-server,8V50,Class I,READY,B,peptide,0.8293,95.18,0.9644,50,ACD,0.7454,4,0.8112
AF3,af3-server,8V50,Class I,READY,C,TCRa,0.8002,93.76,0.9657,53,ABD,0.7454,4,0.8112
AF3,af3-server,8V50,Class I,READY,D,TCRb,0.5018,87.68,0.891,62,ABC,0.7454,4,0.8112
AF3,af3-server,8V51,Class I,READY,A,MHC,0.8237,94.62,0.9676,57,BCD,0.6865,4,0.7881
AF3,af3-server,8V51,Class I,READY,B,peptide,0.7908,93.93,0.9597,48,ACD,0.6865,4,0.7881
AF3,af3-server,8V51,Class I,READY,C,TCRa,0.6442,89.95,0.9347,53,ABD,0.6865,4,0.7881
AF3,af3-server,8V51,Class I,READY,D,TCRb,0.4873,87.33,0.8875,64,ABC,0.6865,4,0.7881
AF3,af3-server,8VCX,Class II,READY,A,MHCa,0.9029,97.38,0.977,129,BCE,0.8418,5,0.7669
AF3,af3-server,8VCX,Class II,READY,B,peptide,0.7024,93.36,0.9261,70,ACDE,0.8418,5,0.7669
AF3,af3-server,8VCX,Class II,READY,C,MHCb,0.9127,97.57,0.9799,113,ABDE,0.8418,5,0.7669
AF3,af3-server,8VCX,Class II,READY,D,TCRa,0.7731,94.75,0.9435,54,BCE,0.8418,5,0.7669
AF3,af3-server,8VCX,Class II,READY,E,TCRb,0.9181,98.07,0.9776,58,ABCD,0.8418,5,0.7669
AF3,af3-server,8VCY,Class II,READY,A,MHCa,0.7272,94.76,0.9232,135,BCDE,0.6778,5,0.7633
AF3,af3-server,8VCY,Class II,READY,B,peptide,0.1166,72.48,0.7306,73,ACDE,0.6778,5,0.7633
AF3,af3-server,8VCY,Class II,READY,C,MHCb,0.7948,95.53,0.9454,117,ABDE,0.6778,5,0.7633
AF3,af3-server,8VCY,Class II,READY,D,TCRa,0.8469,95.83,0.9661,62,ABCE,0.6778,5,0.7633
AF3,af3-server,8VCY,Class II,READY,E,TCRb,0.9035,97.46,0.9765,65,ABCD,0.6778,5,0.7633
AF3,af3-server,8VD2,Class II,READY,A,MHCa,0.8254,95.94,0.9551,135,BCDE,0.7004,5,0.7045
AF3,af3-server,8VD2,Class II,READY,B,peptide,0.5971,91.33,0.8995,65,ACD,0.7004,5,0.7045
AF3,af3-server,8VD2,Class II,READY,C,MHCb,0.8636,97.23,0.9599,128,ABD,0.7004,5,0.7045
AF3,af3-server,8VD2,Class II,READY,D,TCRa,0.4329,86.6,0.8666,57,ABCE,0.7004,5,0.7045
AF3,af3-server,8VD2,Class II,READY,E,TCRb,0.7829,95.33,0.942,45,AD,0.7004,5,0.7045
AF3,af3-server,8WTE,Class I,READY,A,MHC,0.3264,86.2,0.8084,62,BCD,0.31,4,0.7154
AF3,af3-server,8WTE,Class I,READY,B,peptide,0.2241,80.37,0.7869,62,ACD,0.31,4,0.7154
AF3,af3-server,8WTE,Class I,READY,C,TCRa,0.3686,84.66,0.8496,67,ABD,0.31,4,0.7154
AF3,af3-server,8WTE,Class I,READY,D,TCRb,0.321,83.57,0.8303,75,ABC,0.31,4,0.7154
AF3,af3-server,8WUL,Class I,READY,A,MHC,0.7917,94.31,0.9563,61,BCD,0.685,4,0.7641
AF3,af3-server,8WUL,Class I,READY,B,peptide,0.7293,92.46,0.9471,49,ACD,0.685,4,0.7641
AF3,af3-server,8WUL,Class I,READY,C,TCRa,0.627,90.42,0.9221,62,ABD,0.685,4,0.7641
AF3,af3-server,8WUL,Class I,READY,D,TCRb,0.592,89.39,0.9166,62,ABC,0.685,4,0.7641
AF3,af3-server,8YE4,Class I,READY,A,MHC,0.3347,87.3,0.8034,67,BCD,0.3197,4,0.6051
AF3,af3-server,8YE4,Class I,READY,B,peptide,0.4584,85.41,0.8923,48,ACD,0.3197,4,0.6051
AF3,af3-server,8YE4,Class I,READY,C,TCRa,0.1258,73.55,0.7358,64,ABD,0.3197,4,0.6051
AF3,af3-server,8YE4,Class I,READY,D,TCRb,0.3601,84.32,0.8478,57,ABC,0.3197,4,0.6051
AF3,af3-server,8YIV,Class I,READY,A,MHC,0.9291,97.85,0.9852,65,BCD,0.8981,4,0.7961
AF3,af3-server,8YIV,Class I,READY,B,peptide,0.8651,96.38,0.969,56,ACD,0.8981,4,0.7961
AF3,af3-server,8YIV,Class I,READY,C,TCRa,0.8991,97.08,0.9782,58,ABD,0.8981,4,0.7961
AF3,af3-server,8YIV,Class I,READY,D,TCRb,0.899,96.98,0.9791,69,ABC,0.8981,4,0.7961
AF3,af3-server,8YJ2,Class I,READY,A,MHC,0.9209,97.6,0.9836,62,BCD,0.9045,4,0.7982
AF3,af3-server,8YJ2,Class I,READY,B,peptide,0.8998,97.15,0.9779,52,ACD,0.9045,4,0.7982
AF3,af3-server,8YJ2,Class I,READY,C,TCRa,0.8995,97.1,0.9782,61,ABD,0.9045,4,0.7982
AF3,af3-server,8YJ2,Class I,READY,D,TCRb,0.8977,96.98,0.9785,65,ABC,0.9045,4,0.7982
AF3,af3-server,9D95,Class I,READY,A,MHC,0.3096,85.22,0.8066,71,BCD,0.2188,4,0.7875
AF3,af3-server,9D95,Class I,READY,B,peptide,0.2102,78.73,0.79,53,ACD,0.2188,4,0.7875
AF3,af3-server,9D95,Class I,READY,C,TCRa,0.2507,79.85,0.8154,58,ABD,0.2188,4,0.7875
AF3,af3-server,9D95,Class I,READY,D,TCRb,0.1047,71.19,0.7208,62,ABC,0.2188,4,0.7875
AF3,af3-server,9EJG,Class II,READY,A,MHCa,0.8684,96.07,0.9737,95,BC,0.82,5,0.8218
AF3,af3-server,9EJG,Class II,READY,B,peptide,0.8132,95.1,0.9579,45,AC,0.82,5,0.8218
AF3,af3-server,9EJG,Class II,READY,C,MHCb,0.8326,95.89,0.9589,116,ABDE,0.82,5,0.8218
AF3,af3-server,9EJG,Class II,READY,D,TCRa,0.7517,93.25,0.949,51,CE,0.82,5,0.8218
AF3,af3-server,9EJG,Class II,READY,E,TCRb,0.8339,95.37,0.9647,45,CD,0.82,5,0.8218
AF3,af3-server,9EJH,Class II,READY,A,MHCa,0.8547,95.86,0.9694,114,BCE,0.7429,5,0.5567
AF3,af3-server,9EJH,Class II,READY,B,peptide,0.719,92.22,0.945,52,ACE,0.7429,5,0.5567
AF3,af3-server,9EJH,Class II,READY,C,MHCb,0.8475,95.82,0.9664,103,ABDE,0.7429,5,0.5567
AF3,af3-server,9EJH,Class II,READY,D,TCRa,0.6492,90.14,0.935,36,CE,0.7429,5,0.5567
AF3,af3-server,9EJH,Class II,READY,E,TCRb,0.644,90.1,0.9331,47,ABCD,0.7429,5,0.5567
AF3,af3-server,9EJI,Class II,READY,A,MHCa,0.8349,95.84,0.9604,124,BCE,0.8492,5,0.5697
AF3,af3-server,9EJI,Class II,READY,B,peptide,0.8918,97.1,0.9745,52,ACE,0.8492,5,0.5697
AF3,af3-server,9EJI,Class II,READY,C,MHCb,0.8531,96.85,0.9588,116,ABDE,0.8492,5,0.5697
AF3,af3-server,9EJI,Class II,READY,D,TCRa,0.8018,94.69,0.957,45,CE,0.8492,5,0.5697
AF3,af3-server,9EJI,Class II,READY,E,TCRb,0.8646,96.49,0.9677,57,ABCD,0.8492,5,0.5697
AF3,af3-server,9GV6,Class I,READY,A,MHC,0.4007,88.75,0.8284,54,BCD,0.3544,4,0.6423
AF3,af3-server,9GV6,Class I,READY,B,peptide,0.419,86.64,0.8587,47,ACD,0.3544,4,0.6423
AF3,af3-server,9GV6,Class I,READY,C,TCRa,0.288,81.92,0.8237,69,ABD,0.3544,4,0.6423
AF3,af3-server,9GV6,Class I,READY,D,TCRb,0.31,83.4,0.8245,56,ABC,0.3544,4,0.6423
AF3,af3-server,9GV7,Class I,READY,A,MHC,0.243,90.57,0.7131,57,BCD,0.1852,4,0.3148
AF3,af3-server,9GV7,Class I,READY,B,peptide,0.1614,81.04,0.7154,54,ACD,0.1852,4,0.3148
AF3,af3-server,9GV7,Class I,READY,C,TCRa,0.1538,80.33,0.7125,65,ABD,0.1852,4,0.3148
AF3,af3-server,9GV7,Class I,READY,D,TCRb,0.1824,78.99,0.7585,54,ABC,0.1852,4,0.3148
AF3,af3-server,9HLJ,Class I,READY,A,MHC,0.6204,90.28,0.9206,68,BCD,0.4598,4,0.5999
AF3,af3-server,9HLJ,Class I,READY,B,peptide,0.6157,89.69,0.9244,47,ACD,0.4598,4,0.5999
AF3,af3-server,9HLJ,Class I,READY,C,TCRa,0.3608,83.43,0.8573,51,ABD,0.4598,4,0.5999
AF3,af3-server,9HLJ,Class I,READY,D,TCRb,0.2423,79.13,0.8156,76,ABC,0.4598,4,0.5999
AF3,af3-server,9IKY,Class I,READY,A,MHC,0.7578,92.21,0.9625,56,BCD,0.6339,4,0.7833
AF3,af3-server,9IKY,Class I,READY,B,peptide,0.4832,86.35,0.8954,52,ACD,0.6339,4,0.7833
AF3,af3-server,9IKY,Class I,READY,C,TCRa,0.8021,94.03,0.9638,46,ABD,0.6339,4,0.7833
AF3,af3-server,9IKY,Class I,READY,D,TCRb,0.4925,86.35,0.9001,60,ABC,0.6339,4,0.7833
AF3,af3-server,9J4T,Class I,READY,A,MHC,0.2572,86.99,0.7534,50,BCD,0.2883,4,0.6269
AF3,af3-server,9J4T,Class I,READY,B,peptide,0.3228,83.72,0.83,38,ACD,0.2883,4,0.6269
AF3,af3-server,9J4T,Class I,READY,C,TCRa,0.3472,85.33,0.8299,46,ABD,0.2883,4,0.6269
AF3,af3-server,9J4T,Class I,READY,D,TCRb,0.2259,82.0,0.7729,48,ABC,0.2883,4,0.6269
AF3,af3-server,9J4U,Class I,READY,A,MHC,0.8808,96.08,0.9794,41,BCD,0.76,4,0.8259
AF3,af3-server,9J4U,Class I,READY,B,peptide,0.8465,95.54,0.9688,42,ACD,0.76,4,0.8259
AF3,af3-server,9J4U,Class I,READY,C,TCRa,0.5977,88.55,0.928,54,ABD,0.76,4,0.8259
AF3,af3-server,9J4U,Class I,READY,D,TCRb,0.715,91.62,0.9493,41,ABC,0.76,4,0.8259
AF3,af3-server,9K2I,Class I,READY,A,MHC,0.1963,90.37,0.676,56,BCD,0.1982,4,0.353
AF3,af3-server,9K2I,Class I,READY,B,peptide,0.2426,87.46,0.7381,49,ACD,0.1982,4,0.353
AF3,af3-server,9K2I,Class I,READY,C,TCRa,0.2339,83.81,0.7631,58,ABD,0.1982,4,0.353
AF3,af3-server,9K2I,Class I,READY,D,TCRb,0.12,76.95,0.6938,71,ABC,0.1982,4,0.353
AF3,af3-server,9K2R,Class I,READY,A,MHC,0.2733,87.73,0.7588,42,BCD,0.228,4,0.6666
AF3,af3-server,9K2R,Class I,READY,B,peptide,0.1222,78.51,0.6837,49,ACD,0.228,4,0.6666
AF3,af3-server,9K2R,Class I,READY,C,TCRa,0.2874,84.57,0.7975,48,ABD,0.228,4,0.6666
AF3,af3-server,9K2R,Class I,READY,D,TCRb,0.2291,83.6,0.7609,57,ABC,0.228,4,0.6666
AF3,af3-server,9LLU,Class I,READY,A,MHC,0.6401,91.35,0.9186,86,BCD,0.4777,4,0.5071
AF3,af3-server,9LLU,Class I,READY,B,peptide,0.5944,89.0,0.9217,49,ACD,0.4777,4,0.5071
AF3,af3-server,9LLU,Class I,READY,C,TCRa,0.3911,83.27,0.8773,66,ABD,0.4777,4,0.5071
AF3,af3-server,9LLU,Class I,READY,D,TCRb,0.2851,79.84,0.8429,73,ABC,0.4777,4,0.5071
AF3,af3-server,9NDS,Class I,READY,A,MHC,0.9525,98.67,0.9889,66,BCD,0.9356,4,0.9337
AF3,af3-server,9NDS,Class I,READY,B,peptide,0.9529,98.74,0.9885,54,ACD,0.9356,4,0.9337
AF3,af3-server,9NDS,Class I,READY,C,TCRa,0.9282,98.03,0.983,60,ABD,0.9356,4,0.9337
AF3,af3-server,9NDS,Class I,READY,D,TCRb,0.9088,97.4,0.9797,60,ABC,0.9356,4,0.9337
AF3,af3-server,9NMU,Class I,READY,A,MHC,0.8595,95.63,0.974,46,BCD,0.6477,4,0.8292
AF3,af3-server,9NMU,Class I,READY,B,peptide,0.6151,90.29,0.9181,47,ACD,0.6477,4,0.8292
AF3,af3-server,9NMU,Class I,READY,C,TCRa,0.7399,92.02,0.9564,55,ABD,0.6477,4,0.8292
AF3,af3-server,9NMU,Class I,READY,D,TCRb,0.3763,83.25,0.8687,48,ABC,0.6477,4,0.8292
AF3,af3-server,9NMV,Class I,READY,A,MHC,0.8678,95.98,0.9744,50,BCD,0.6904,4,0.8491
AF3,af3-server,9NMV,Class I,READY,B,peptide,0.7082,92.46,0.9377,47,ACD,0.6904,4,0.8491
AF3,af3-server,9NMV,Class I,READY,C,TCRa,0.7592,92.69,0.9581,58,ABD,0.6904,4,0.8491
AF3,af3-server,9NMV,Class I,READY,D,TCRb,0.4262,85.25,0.8766,51,ABC,0.6904,4,0.8491
AF3,af3-server,9NMW,Class I,READY,A,MHC,0.8735,95.96,0.9773,51,BCD,0.7022,4,0.8225
AF3,af3-server,9NMW,Class I,READY,B,peptide,0.672,91.23,0.934,46,ACD,0.7022,4,0.8225
AF3,af3-server,9NMW,Class I,READY,C,TCRa,0.7452,92.3,0.9559,61,ABD,0.7022,4,0.8225
AF3,af3-server,9NMW,Class I,READY,D,TCRb,0.5181,87.35,0.9025,48,ABC,0.7022,4,0.8225
AF3,af3-server,9NMX,Class I,READY,A,MHC,0.8524,95.26,0.9745,49,BCD,0.6803,4,0.8222
AF3,af3-server,9NMX,Class I,READY,B,peptide,0.7038,91.83,0.9422,47,ACD,0.6803,4,0.8222
AF3,af3-server,9NMX,Class I,READY,C,TCRa,0.7284,91.68,0.9547,54,ABD,0.6803,4,0.8222
AF3,af3-server,9NMX,Class I,READY,D,TCRb,0.4364,84.68,0.8881,42,ABC,0.6803,4,0.8222
AF3,af3-server,9NMY,Class I,READY,A,MHC,0.8768,95.88,0.9796,48,BCD,0.6875,4,0.8182
AF3,af3-server,9NMY,Class I,READY,B,peptide,0.6788,91.05,0.939,46,ACD,0.6875,4,0.8182
AF3,af3-server,9NMY,Class I,READY,C,TCRa,0.773,92.82,0.9631,55,ABD,0.6875,4,0.8182
AF3,af3-server,9NMY,Class I,READY,D,TCRb,0.4212,85.07,0.8758,39,ABC,0.6875,4,0.8182
AF3,af3-server,9NU7,Class I,READY,A,MHC,0.8028,94.25,0.9619,58,BCD,0.7184,4,0.6056
AF3,af3-server,9NU7,Class I,READY,B,peptide,0.8587,95.72,0.9727,48,ACD,0.7184,4,0.6056
AF3,af3-server,9NU7,Class I,READY,C,TCRa,0.482,87.88,0.8792,67,ABD,0.7184,4,0.6056
AF3,af3-server,9NU7,Class I,READY,D,TCRb,0.73,92.54,0.9465,49,ABC,0.7184,4,0.6056
AF3,af3-server,9NV2,Class I,READY,A,MHC,0.7091,93.89,0.9238,55,BCD,0.6666,4,0.775
AF3,af3-server,9NV2,Class I,READY,B,peptide,0.8146,94.08,0.969,39,ACD,0.6666,4,0.775
AF3,af3-server,9NV2,Class I,READY,C,TCRa,0.4373,86.42,0.8708,70,ABD,0.6666,4,0.775
AF3,af3-server,9NV2,Class I,READY,D,TCRb,0.7055,92.06,0.9406,52,ABC,0.6666,4,0.775
AF3,af3-server,9NV6,Class I,READY,A,MHC,0.5337,91.51,0.8687,49,BCD,0.5381,4,0.7149
AF3,af3-server,9NV6,Class I,READY,B,peptide,0.6752,91.71,0.9306,40,ACD,0.5381,4,0.7149
AF3,af3-server,9NV6,Class I,READY,C,TCRa,0.3712,85.24,0.8454,62,ABD,0.5381,4,0.7149
AF3,af3-server,9NV6,Class I,READY,D,TCRb,0.5723,89.55,0.9059,55,ABC,0.5381,4,0.7149
AF3,af3-server,9NVA,Class I,READY,A,MHC,0.5776,90.58,0.898,43,BCD,0.4742,4,0.5572
