pdb_id,step,sigma,n_samples,ca_rmsd_to_final_mean,ca_rmsd_to_final_sd,ca_rmsd_to_native_mean,ca_rmsd_to_native_sd,ca_rmsd_step_delta_mean
7R80,166,0.579186,5,0.3366,0.0081,1.6498,0.1172,0.0543
7R80,167,0.524908,5,0.2895,0.0069,1.6403,0.1169,0.0474
7R80,168,0.475048,5,0.2484,0.0059,1.6332,0.1165,0.0414
7R80,169,0.429305,5,0.2127,0.0050,1.6278,0.1160,0.0360
7R80,170,0.38739,5,0.1817,0.0042,1.6238,0.1155,0.0313
7R80,171,0.349033,5,0.1550,0.0035,1.6208,0.1151,0.0270
7R80,172,0.313979,5,0.1319,0.0028,1.6186,0.1147,0.0234
7R80,173,0.281986,5,0.1120,0.0023,1.6170,0.1143,0.0202
7R80,174,0.252829,5,0.0949,0.0019,1.6158,0.1140,0.0174
7R80,175,0.226295,5,0.0802,0.0015,1.6149,0.1137,0.0150
7R80,176,0.202186,5,0.0677,0.0012,1.6143,0.1134,0.0129
7R80,177,0.180312,5,0.0571,0.0010,1.6138,0.1132,0.0110
7R80,178,0.160499,5,0.0480,0.0008,1.6135,0.1129,0.0094
7R80,179,0.142582,5,0.0404,0.0007,1.6132,0.1128,0.0080
7R80,180,0.126407,5,0.0339,0.0007,1.6131,0.1126,0.0069
7R80,181,0.111832,5,0.0284,0.0006,1.6129,0.1125,0.0059
7R80,182,0.0987208,5,0.0238,0.0006,1.6128,0.1123,0.0050
7R80,183,0.0869503,5,0.0199,0.0006,1.6128,0.1123,0.0043
7R80,184,0.0764038,5,0.0167,0.0005,1.6127,0.1122,0.0037
7R80,185,0.0669735,5,0.0140,0.0005,1.6127,0.1121,0.0031
7R80,186,0.0585587,5,0.0118,0.0004,1.6127,0.1121,0.0027
7R80,187,0.0510671,5,0.0099,0.0004,1.6126,0.1120,0.0023
7R80,188,0.0444124,5,0.0083,0.0003,1.6126,0.1120,0.0020
7R80,189,0.0385154,5,0.0070,0.0003,1.6125,0.1120,0.0018
7R80,190,0.0333026,5,0.0058,0.0002,1.6125,0.1119,0.0016
7R80,191,0.0287066,5,0.0048,0.0002,1.6124,0.1119,0.0015
7R80,192,0.0246654,5,0.0040,0.0002,1.6124,0.1119,0.0013
7R80,193,0.021122,5,0.0033,0.0001,1.6124,0.1119,0.0012
7R80,194,0.0180242,5,0.0027,0.0001,1.6124,0.1119,0.0011
7R80,195,0.0153242,5,0.0022,0.0001,1.6123,0.1119,0.0010
7R80,196,0.0129786,5,0.0018,0.0001,1.6123,0.1119,0.0009
7R80,197,0.0109477,5,0.0014,0.0001,1.6123,0.1119,0.0009
7R80,198,0.00919558,5,0.0011,0.0001,1.6122,0.1119,0.0008
7R80,199,0.00768951,5,0.0007,0.0000,1.6122,0.1119,0.0007
7R80,200,0.00640001,5,0.0000,0.0000,1.6122,0.1118,0.0007
7N5P,1,2485.54,5,2472.8903,53.0768,2472.9166,53.0442,
7N5P,2,2412.94,5,2126.9517,48.6800,2126.9741,48.6897,2664.1848
7N5P,3,2342.16,5,2051.1592,42.5998,2051.1702,42.5726,2435.6804
7N5P,4,2273.18,5,1966.0047,30.6216,1965.9917,30.6205,2373.1562
7N5P,5,2205.94,5,1931.0070,4.3299,1931.0324,4.3421,2285.2047
7N5P,6,2140.41,5,1842.9963,4.8710,1842.9972,4.8573,2185.7998
7N5P,7,2076.56,5,1790.9154,33.6699,1790.9494,33.6501,2142.4545
7N5P,8,2014.35,5,1746.0744,40.8670,1746.0808,40.8678,2089.8276
7N5P,9,1953.74,5,1698.3882,38.1298,1698.3841,38.1543,1978.2491
7N5P,10,1894.71,5,1658.7090,49.0199,1658.6971,48.9881,1962.3493
7N5P,11,1837.2,5,1607.7582,17.3615,1607.7785,17.3785,1906.5436
7N5P,12,1781.21,5,1551.8552,28.7521,1551.8533,28.7411,1860.8977
7N5P,13,1726.68,5,1507.9845,32.1984,1507.9997,32.1821,1770.4453
7N5P,14,1673.58,5,1474.8537,29.3381,1474.8467,29.2973,1749.8950
7N5P,15,1621.9,5,1420.8574,39.1681,1420.8622,39.1767,1702.1971
7N5P,16,1571.58,5,1365.4992,37.2723,1365.4808,37.2520,1636.8863
7N5P,17,1522.62,5,1333.6490,28.9178,1333.6513,28.8833,1604.2206
7N5P,18,1474.96,5,1278.9631,24.8705,1278.9626,24.8475,1540.0653
7N5P,19,1428.59,5,1228.3080,28.4125,1228.3292,28.4106,1465.6050
7N5P,20,1383.47,5,1213.1811,29.4839,1213.2158,29.5007,1421.1026
7N5P,21,1339.59,5,1162.0966,26.4143,1162.0873,26.3829,1392.0359
7N5P,22,1296.9,5,1126.6874,23.1371,1126.6636,23.1513,1327.1916
7N5P,23,1255.38,5,1092.3614,7.6447,1092.3778,7.6763,1294.1352
7N5P,24,1215,5,1055.7225,11.7538,1055.7277,11.7505,1250.0901
7N5P,25,1175.75,5,1013.1622,24.9659,1013.1599,24.9753,1221.3374
7N5P,26,1137.58,5,985.0092,35.1867,985.0203,35.1983,1166.0897
7N5P,27,1100.49,5,960.3044,13.8246,960.3189,13.7974,1149.1280
7N5P,28,1064.43,5,933.8071,12.0465,933.8027,12.0024,1103.4051
7N5P,29,1029.39,5,885.0493,21.3332,885.0533,21.3440,1057.4831
7N5P,30,995.349,5,852.2641,11.7369,852.2814,11.7227,1003.4165
7N5P,31,962.275,5,817.7220,12.2628,817.7072,12.2537,986.3483
7N5P,32,930.147,5,820.4926,4.9792,820.4637,4.9984,963.2270
7N5P,33,898.942,5,777.6065,8.6231,777.5983,8.5996,940.9804
7N5P,34,868.639,5,750.2624,18.1104,750.2504,18.1044,895.0423
7N5P,35,839.216,5,718.7661,20.2279,718.7973,20.2041,869.8669
7N5P,36,810.652,5,721.8516,16.1216,721.8231,16.0973,833.9444
7N5P,37,782.924,5,677.7571,11.4360,677.7743,11.4514,819.5404
7N5P,38,756.014,5,659.3234,7.8728,659.3319,7.8482,782.1261
7N5P,39,729.901,5,627.2137,7.2794,627.2173,7.2531,751.3979
7N5P,40,704.564,5,608.3226,10.4620,608.3444,10.4308,718.0528
7N5P,41,679.985,5,582.3059,9.7472,582.3409,9.7550,700.6905
7N5P,42,656.145,5,563.9094,12.4434,563.9061,12.4583,668.8399
7N5P,43,633.025,5,542.0134,13.9145,542.0170,13.9071,647.9573
7N5P,44,610.606,5,519.0252,5.7771,519.0211,5.7781,623.3819
7N5P,45,588.872,5,516.2661,10.9789,516.2531,10.9724,607.5817
7N5P,46,567.804,5,496.1183,10.8259,496.1165,10.8370,580.5500
7N5P,47,547.386,5,469.0414,6.3451,469.0113,6.2885,560.3246
7N5P,48,527.6,5,450.2818,7.1195,450.3174,7.1083,538.8133
7N5P,49,508.43,5,435.9846,11.1374,435.9613,11.1306,514.7121
7N5P,50,489.861,5,423.7592,10.4777,423.7576,10.4573,496.9439
7N5P,51,471.875,5,398.9399,9.1921,398.9214,9.1664,475.3255
7N5P,52,454.46,5,387.8027,5.0605,387.7880,5.0494,464.9345
7N5P,53,437.597,5,380.3138,5.3209,380.3239,5.3019,450.7485
7N5P,54,421.274,5,364.3867,4.8459,364.3934,4.8223,434.7324
7N5P,55,405.476,5,343.5468,3.9623,343.5272,3.9684,413.8811
7N5P,56,390.188,5,329.9162,6.3753,329.9280,6.3824,396.6676
7N5P,57,375.397,5,321.0608,4.9836,321.0408,5.0039,381.4547
7N5P,58,361.089,5,305.7531,2.7419,305.7343,2.7242,368.7955
7N5P,59,347.251,5,301.3630,3.8519,301.3511,3.8640,350.8194
7N5P,60,333.87,5,281.4958,6.0245,281.4699,6.0226,341.4521
7N5P,61,320.934,5,270.9218,3.3671,270.9295,3.3685,324.8389
7N5P,62,308.43,5,264.5488,3.6103,264.5580,3.6338,314.4703
7N5P,63,296.345,5,253.2939,3.3063,253.2715,3.3111,304.9762
7N5P,64,284.669,5,240.7463,3.2232,240.7374,3.2269,295.0554
7N5P,65,273.389,5,233.8745,3.6557,233.8470,3.6887,275.9532
7N5P,66,262.495,5,224.5112,4.5155,224.5035,4.4913,265.0454
7N5P,67,251.974,5,216.6472,7.0247,216.6776,7.0042,257.8124
7N5P,68,241.818,5,208.1285,3.1876,208.0935,3.1888,245.1116
7N5P,69,232.014,5,198.3140,2.6273,198.3097,2.6308,239.5409
7N5P,70,222.553,5,187.3537,2.0088,187.3219,1.9968,227.1643
7N5P,71,213.425,5,180.7125,2.5962,180.7232,2.5745,215.0664
7N5P,72,204.619,5,174.1933,3.0515,174.1968,3.0394,207.2197
7N5P,73,196.127,5,167.0465,3.5518,167.0747,3.5606,196.9730
7N5P,74,187.938,5,160.6825,3.5262,160.6877,3.5540,191.4280
7N5P,75,180.045,5,151.1365,4.6821,151.1405,4.6894,184.6590
7N5P,76,172.437,5,145.4492,2.4715,145.4569,2.5147,174.7145
7N5P,77,165.106,5,136.7147,2.3820,136.7064,2.4151,167.0242
7N5P,78,158.045,5,133.7006,1.9346,133.7292,1.9390,158.1217
7N5P,79,151.243,5,128.5943,2.2401,128.6209,2.2282,152.6341
7N5P,80,144.695,5,121.3600,1.1238,121.3621,1.1164,145.8355
7N5P,81,138.39,5,117.8456,1.5178,117.8669,1.4949,140.2242
7N5P,82,132.323,5,112.9121,2.7717,112.9132,2.7658,134.5342
7N5P,83,126.485,5,106.5279,4.0866,106.5317,4.1239,128.8438
7N5P,84,120.869,5,102.7522,2.2919,102.7442,2.3152,123.8334
7N5P,85,115.469,5,98.2440,1.1815,98.2365,1.1790,119.2053
7N5P,86,110.276,5,91.7090,2.4194,91.6920,2.4327,112.7784
7N5P,87,105.285,5,89.1190,1.8951,89.1067,1.8668,105.8343
7N5P,88,100.489,5,86.1462,2.7486,86.1449,2.7219,103.1028
7N5P,89,95.8813,5,80.5999,0.9979,80.6113,1.0191,98.4584
7N5P,90,91.4559,5,77.2383,1.4390,77.2240,1.4418,93.3920
7N5P,91,87.2068,5,72.8131,0.9815,72.7932,1.0078,88.2479
7N5P,92,83.1281,5,70.0366,1.1188,70.0760,1.1310,84.1582
7N5P,93,79.2139,5,65.9762,1.2242,65.9780,1.2113,80.8764
7N5P,94,75.4588,5,64.3318,0.6633,64.3295,0.6403,76.8786
7N5P,95,71.8574,5,60.0604,1.3881,60.0857,1.3193,72.5736
7N5P,96,68.4042,5,56.8506,1.0933,56.8623,1.0759,70.3622
7N5P,97,65.0944,5,54.7626,0.8651,54.7808,0.8790,66.1946
7N5P,98,61.9226,5,51.8294,0.4805,51.8392,0.4830,62.2480
7N5P,99,58.8844,5,49.4050,1.5738,49.3823,1.5865,59.4416
7N5P,100,55.9748,5,46.7837,0.9489,46.7892,0.9175,55.7539
7N5P,101,53.1893,5,44.5791,0.6577,44.5873,0.6713,53.6860
7N5P,102,50.5235,5,41.8573,0.9125,41.8706,0.9247,51.4115
7N5P,103,47.9731,5,39.9956,0.5894,40.0435,0.5952,48.3212
7N5P,104,45.5338,5,38.0337,1.0906,38.0452,1.0679,45.4979
7N5P,105,43.2016,5,36.0746,0.7308,36.1213,0.7470,43.1063
7N5P,106,40.9725,5,34.3688,0.1458,34.3746,0.1796,41.6288
7N5P,107,38.8428,5,32.5381,0.2058,32.5022,0.2143,39.1972
7N5P,108,36.8086,5,30.6371,0.6374,30.7120,0.6195,37.3421
7N5P,109,34.8665,5,29.1456,0.2248,29.1771,0.2534,35.0163
7N5P,110,33.0129,5,27.3510,0.5380,27.3843,0.5114,33.7702
7N5P,111,31.2443,5,25.7365,0.7745,25.7450,0.7861,31.0981
7N5P,112,29.5577,5,24.9291,0.3322,24.9578,0.3195,30.0368
7N5P,113,27.9497,5,23.4463,0.3178,23.5062,0.2852,28.7162
7N5P,114,26.4172,5,22.1031,0.3961,22.1543,0.3836,27.0001
7N5P,115,24.9573,5,20.7517,0.4592,20.8096,0.5098,25.4602
7N5P,116,23.5672,5,19.5121,0.3653,19.5299,0.3219,23.8663
7N5P,117,22.2439,5,18.2683,0.1992,18.2855,0.1951,22.3614
7N5P,118,20.9849,5,17.4993,0.2148,17.5637,0.2152,21.3215
7N5P,119,19.7874,5,16.2952,0.2789,16.3458,0.2815,19.8479
7N5P,120,18.649,5,15.2572,0.2097,15.2963,0.1937,18.7127
7N5P,121,17.5672,5,14.4411,0.1586,14.4787,0.1444,17.4663
7N5P,122,16.5396,5,13.5575,0.3417,13.6096,0.3550,16.8400
7N5P,123,15.564,5,12.8453,0.2788,12.8741,0.2815,15.5578
7N5P,124,14.6382,5,12.2213,0.2307,12.2810,0.2274,14.7034
7N5P,125,13.7599,5,11.1045,0.2485,11.2056,0.2398,13.8128
7N5P,126,12.9272,5,10.6441,0.2268,10.7989,0.2043,12.6479
7N5P,127,12.1381,5,10.0075,0.1546,10.1466,0.1299,12.2912
7N5P,128,11.3907,5,9.3416,0.1274,9.4482,0.1345,11.3432
7N5P,129,10.683,5,8.7617,0.1174,8.9107,0.1115,10.7793
7N5P,130,10.0134,5,8.1145,0.1059,8.2535,0.1241,9.8961
7N5P,131,9.38004,5,7.6961,0.2644,7.8462,0.2321,9.3277
7N5P,132,8.78137,5,7.1855,0.1217,7.3568,0.1206,8.6904
7N5P,133,8.21574,5,6.7588,0.1527,6.9350,0.1621,8.1446
7N5P,134,7.68164,5,6.3726,0.0990,6.5425,0.1203,7.6539
7N5P,135,7.17757,5,5.8264,0.0621,5.9998,0.0762,7.2474
7N5P,136,6.70213,5,5.4220,0.1044,5.6246,0.0972,6.5536
7N5P,137,6.25395,5,5.0969,0.0844,5.2549,0.0516,6.2109
7N5P,138,5.8317,5,4.7515,0.0470,4.9175,0.1084,5.7591
7N5P,139,5.43412,5,4.4444,0.0441,4.6561,0.0746,5.4274
7N5P,140,5.06001,5,4.1904,0.1008,4.3989,0.1160,5.0889
7N5P,141,4.7082,5,3.7701,0.1081,3.9916,0.0791,4.7049
7N5P,142,4.37757,5,3.6234,0.0463,3.8739,0.0356,4.3213
7N5P,143,4.06704,5,3.3323,0.0635,3.6026,0.0732,4.0677
7N5P,144,3.77558,5,3.0393,0.0493,3.3403,0.0705,3.7700
7N5P,145,3.50222,5,2.8708,0.0540,3.1964,0.1048,3.4302
7N5P,146,3.246,5,2.5993,0.0386,2.9624,0.0704,3.2276
7N5P,147,3.00601,5,2.4647,0.0092,2.8779,0.0455,3.0057
7N5P,148,2.7814,5,2.2613,0.0390,2.6511,0.0333,2.7798
7N5P,149,2.57133,5,2.1275,0.0499,2.5321,0.0884,2.5574
7N5P,150,2.37501,5,1.9300,0.0184,2.4090,0.0584,2.3593
7N5P,151,2.19168,5,1.8066,0.0463,2.3022,0.1082,2.1654
7N5P,152,2.02061,5,1.6467,0.0324,2.1863,0.1114,2.0156
7N5P,153,1.86112,5,1.5141,0.0161,2.1051,0.0939,1.8350
7N5P,154,1.71255,5,1.3910,0.0089,2.0525,0.1124,1.6699
7N5P,155,1.57426,5,1.2791,0.0132,1.9440,0.0508,1.5459
7N5P,156,1.44565,5,1.1640,0.0224,1.8947,0.0868,1.4122
7N5P,157,1.32616,5,1.0773,0.0282,1.8577,0.0739,1.3220
7N5P,158,1.21523,5,0.9752,0.0197,1.8073,0.0878,1.1941
7N5P,159,1.11236,5,0.8780,0.0194,1.7527,0.0777,1.0872
7N5P,160,1.01704,5,0.7994,0.0132,1.7150,0.1038,1.0151
7N5P,161,0.928804,5,0.6955,0.0117,1.6693,0.1049,0.1041
7N5P,162,0.847218,5,0.6041,0.0104,1.6334,0.1056,0.0917
7N5P,163,0.771854,5,0.5235,0.0092,1.6054,0.1063,0.0809
7N5P,164,0.702309,5,0.4528,0.0080,1.5837,0.1068,0.0709
7N5P,165,0.638207,5,0.3909,0.0070,1.5672,0.1072,0.0622
7N5P,166,0.579186,5,0.3368,0.0061,1.5547,0.1075,0.0544
7N5P,167,0.524908,5,0.2895,0.0054,1.5452,0.1076,0.0475
7N5P,168,0.475048,5,0.2483,0.0047,1.5381,0.1077,0.0415
7N5P,169,0.429305,5,0.2125,0.0041,1.5327,0.1078,0.0361
7N5P,170,0.38739,5,0.1815,0.0036,1.5288,0.1078,0.0313
7N5P,171,0.349033,5,0.1546,0.0031,1.5260,0.1078,0.0272
7N5P,172,0.313979,5,0.1314,0.0027,1.5239,0.1077,0.0234
7N5P,173,0.281986,5,0.1114,0.0024,1.5224,0.1076,0.0203
7N5P,174,0.252829,5,0.0942,0.0020,1.5214,0.1075,0.0175
7N5P,175,0.226295,5,0.0796,0.0017,1.5206,0.1074,0.0150
7N5P,176,0.202186,5,0.0671,0.0015,1.5201,0.1074,0.0128
7N5P,177,0.180312,5,0.0564,0.0013,1.5197,0.1073,0.0110
7N5P,178,0.160499,5,0.0474,0.0011,1.5195,0.1073,0.0094
7N5P,179,0.142582,5,0.0398,0.0010,1.5194,0.1072,0.0080
7N5P,180,0.126407,5,0.0334,0.0008,1.5193,0.1072,0.0068
7N5P,181,0.111832,5,0.0279,0.0007,1.5192,0.1071,0.0058
7N5P,182,0.0987208,5,0.0234,0.0007,1.5192,0.1071,0.0049
7N5P,183,0.0869503,5,0.0196,0.0006,1.5192,0.1070,0.0042
7N5P,184,0.0764038,5,0.0164,0.0006,1.5192,0.1070,0.0036
7N5P,185,0.0669735,5,0.0137,0.0005,1.5192,0.1070,0.0030
7N5P,186,0.0585587,5,0.0115,0.0005,1.5192,0.1070,0.0027
7N5P,187,0.0510671,5,0.0097,0.0004,1.5193,0.1070,0.0023
7N5P,188,0.0444124,5,0.0081,0.0004,1.5193,0.1070,0.0020
7N5P,189,0.0385154,5,0.0068,0.0003,1.5193,0.1070,0.0018
7N5P,190,0.0333026,5,0.0057,0.0002,1.5193,0.1070,0.0016
7N5P,191,0.0287066,5,0.0048,0.0002,1.5193,0.1070,0.0014
7N5P,192,0.0246654,5,0.0040,0.0002,1.5194,0.1070,0.0013
7N5P,193,0.021122,5,0.0033,0.0001,1.5194,0.1070,0.0012
7N5P,194,0.0180242,5,0.0028,0.0002,1.5194,0.1070,0.0010
7N5P,195,0.0153242,5,0.0023,0.0001,1.5194,0.1070,0.0010
7N5P,196,0.0129786,5,0.0018,0.0001,1.5194,0.1070,0.0009
7N5P,197,0.0109477,5,0.0013,0.0001,1.5195,0.1070,0.0009
7N5P,198,0.00919558,5,0.0010,0.0000,1.5195,0.1070,0.0008
7N5P,199,0.00768951,5,0.0007,0.0000,1.5195,0.1070,0.0007
7N5P,200,0.00640001,5,0.0000,0.0000,1.5195,0.1070,0.0007
7OW5,1,2485.54,5,2475.3768,45.9428,2475.3688,45.9501,
7OW5,2,2412.94,5,2123.4031,40.0817,2123.3961,40.0952,2617.6056
7OW5,3,2342.16,5,2067.9142,52.6219,2067.8986,52.6324,2460.7610
7OW5,4,2273.18,5,1990.4523,32.1705,1990.4256,32.1585,2362.3377
7OW5,5,2205.94,5,1916.3583,32.1702,1916.3377,32.1852,2289.0995
7OW5,6,2140.41,5,1857.9324,28.8801,1857.9170,28.8805,2197.4810
7OW5,7,2076.56,5,1796.6011,26.2179,1796.6050,26.2246,2133.7505
7OW5,8,2014.35,5,1724.8117,34.3290,1724.7938,34.3466,2040.4949
7OW5,9,1953.74,5,1667.0028,21.7416,1666.9778,21.7310,1997.4504
7OW5,10,1894.71,5,1667.8670,26.7564,1667.8635,26.7324,1958.6693
7OW5,11,1837.2,5,1605.2966,24.9799,1605.2850,24.9765,1924.7226
7OW5,12,1781.21,5,1545.9603,19.2133,1545.9473,19.2384,1842.8357
7OW5,13,1726.68,5,1486.0198,26.9184,1486.0154,26.8990,1784.8829
7OW5,14,1673.58,5,1434.6944,14.8520,1434.6752,14.8343,1717.1937
7OW5,15,1621.9,5,1427.1245,22.0788,1427.1286,22.0787,1672.9549
7OW5,16,1571.58,5,1355.6997,16.7859,1355.6957,16.7908,1619.8115
7OW5,17,1522.62,5,1329.3173,21.1157,1329.3175,21.1116,1576.3263
7OW5,18,1474.96,5,1266.3400,22.2056,1266.3222,22.1964,1512.3064
7OW5,19,1428.59,5,1237.5193,29.8770,1237.4943,29.8637,1466.4470
7OW5,20,1383.47,5,1193.9557,15.2850,1193.9599,15.2659,1433.7823
7OW5,21,1339.59,5,1142.8610,15.0255,1142.8271,15.0069,1367.1298
7OW5,22,1296.9,5,1131.4247,12.7733,1131.4128,12.7694,1334.5921
7OW5,23,1255.38,5,1067.0376,23.0676,1067.0219,23.0891,1279.1135
7OW5,24,1215,5,1063.2274,24.3703,1063.2020,24.3558,1240.8025
7OW5,25,1175.75,5,1024.0671,19.3901,1024.0775,19.3961,1208.8387
7OW5,26,1137.58,5,997.0947,7.0180,997.0875,7.0073,1189.6389
7OW5,27,1100.49,5,952.3022,6.7357,952.2995,6.7419,1134.4717
7OW5,28,1064.43,5,915.9862,24.4995,915.9374,24.5025,1087.9786
7OW5,29,1029.39,5,892.8718,13.9592,892.8516,13.9701,1056.0024
7OW5,30,995.349,5,841.9449,23.0182,841.9351,23.0248,1023.6896
7OW5,31,962.275,5,836.6779,14.9668,836.6650,14.9736,993.3474
7OW5,32,930.147,5,809.8605,4.4287,809.8579,4.4221,957.6979
7OW5,33,898.942,5,765.4488,4.3961,765.4514,4.3902,921.2646
7OW5,34,868.639,5,754.8536,15.5407,754.8387,15.5352,883.8697
7OW5,35,839.216,5,721.8056,11.9342,721.7926,11.9330,858.3198
7OW5,36,810.652,5,698.0943,6.5474,698.0975,6.5606,828.6719
7OW5,37,782.924,5,684.6434,7.8936,684.6327,7.8866,814.9269
7OW5,38,756.014,5,645.9755,22.3013,645.9703,22.2957,769.5285
7OW5,39,729.901,5,633.8693,14.0122,633.8721,14.0279,742.7330
7OW5,40,704.564,5,608.4313,7.6547,608.4344,7.6518,714.9165
7OW5,41,679.985,5,577.0872,11.0496,577.0972,11.0528,698.1693
7OW5,42,656.145,5,556.9642,13.4384,556.9412,13.4549,664.6533
7OW5,43,633.025,5,542.6449,6.6442,542.6454,6.6509,649.6904
7OW5,44,610.606,5,525.6851,7.8156,525.6790,7.8076,629.1342
7OW5,45,588.872,5,503.1771,15.5721,503.1861,15.5710,605.4008
7OW5,46,567.804,5,490.4852,11.0488,490.4770,11.0458,578.5793
7OW5,47,547.386,5,470.8459,9.3924,470.8627,9.3837,561.3832
7OW5,48,527.6,5,459.6203,10.2408,459.6075,10.2483,541.2837
7OW5,49,508.43,5,437.3083,3.9670,437.3108,3.9868,528.7048
7OW5,50,489.861,5,420.1234,4.2928,420.1350,4.2777,499.9723
7OW5,51,471.875,5,401.5277,7.6847,401.5179,7.6951,486.3582
7OW5,52,454.46,5,389.6301,1.8190,389.6198,1.8091,459.0063
7OW5,53,437.597,5,374.3213,7.0860,374.3137,7.0767,452.4056
7OW5,54,421.274,5,358.3496,3.7453,358.3395,3.7548,429.4898
7OW5,55,405.476,5,347.4249,4.3113,347.4443,4.2912,414.4472
7OW5,56,390.188,5,331.4343,6.9993,331.4442,6.9892,396.8422
7OW5,57,375.397,5,322.1910,5.6772,322.1913,5.6831,380.4163
7OW5,58,361.089,5,314.1742,6.7260,314.1637,6.7045,372.9758
7OW5,59,347.251,5,296.6053,4.8221,296.5828,4.8247,356.2264
7OW5,60,333.87,5,283.1693,5.2465,283.1776,5.2165,339.6205
7OW5,61,320.934,5,272.6033,0.7062,272.5872,0.7251,323.7024
7OW5,62,308.43,5,266.3313,4.8977,266.3092,4.8822,312.7716
7OW5,63,296.345,5,259.5708,6.2996,259.5817,6.3064,307.2670
7OW5,64,284.669,5,246.8666,4.8049,246.8991,4.8358,295.3698
7OW5,65,273.389,5,235.3915,4.5002,235.3956,4.5096,285.0436
7OW5,66,262.495,5,224.0936,6.3258,224.0791,6.3429,268.5558
7OW5,67,251.974,5,214.7537,6.4110,214.7469,6.4173,261.1879
7OW5,68,241.818,5,206.7530,3.3295,206.7351,3.3169,246.0777
7OW5,69,232.014,5,196.7391,4.8467,196.7090,4.8621,236.5931
7OW5,70,222.553,5,189.8457,3.2664,189.8587,3.2706,225.4438
7OW5,71,213.425,5,182.5202,2.2393,182.5315,2.2407,217.1962
7OW5,72,204.619,5,174.2475,3.3663,174.2619,3.3706,205.4719
7OW5,73,196.127,5,168.0235,3.8470,168.0216,3.8288,202.8767
7OW5,74,187.938,5,161.5809,1.8337,161.5738,1.8189,192.4673
7OW5,75,180.045,5,152.7237,2.8456,152.7138,2.8540,182.6113
7OW5,76,172.437,5,145.3030,1.1043,145.2967,1.0887,175.1639
7OW5,77,165.106,5,140.5938,2.6553,140.5806,2.6673,168.5400
7OW5,78,158.045,5,133.4109,3.6980,133.4007,3.7027,161.0088
7OW5,79,151.243,5,128.6360,2.2212,128.6162,2.2271,151.6324
7OW5,80,144.695,5,122.3054,2.1318,122.2969,2.1344,148.3214
7OW5,81,138.39,5,117.7094,2.4772,117.6747,2.4688,139.7021
7OW5,82,132.323,5,112.6483,3.0872,112.6154,3.1060,135.4157
7OW5,83,126.485,5,104.9391,1.6422,104.9344,1.6411,128.8383
7OW5,84,120.869,5,101.1140,1.1900,101.1033,1.1837,121.5375
7OW5,85,115.469,5,97.1419,2.5088,97.1488,2.4730,115.5901
7OW5,86,110.276,5,92.5211,0.4703,92.5178,0.4518,111.3678
7OW5,87,105.285,5,89.7247,1.6286,89.7162,1.6388,106.6322
7OW5,88,100.489,5,85.0238,1.3544,85.0221,1.3594,102.0180
7OW5,89,95.8813,5,81.9607,2.5492,81.9688,2.5542,98.4224
7OW5,90,91.4559,5,77.4642,1.6188,77.4386,1.6158,93.3348
7OW5,91,87.2068,5,74.1601,1.7875,74.1470,1.8082,89.9680
7OW5,92,83.1281,5,69.6262,1.4927,69.6453,1.4892,84.0211
7OW5,93,79.2139,5,67.1027,0.5765,67.1294,0.5788,80.8603
7OW5,94,75.4588,5,64.6932,0.9580,64.6833,0.9484,75.7761
7OW5,95,71.8574,5,61.8800,1.0183,61.8955,1.0215,74.3243
7OW5,96,68.4042,5,57.1683,1.2940,57.1516,1.2774,70.9010
7OW5,97,65.0944,5,54.5190,0.7603,54.5162,0.7598,66.2272
7OW5,98,61.9226,5,51.8299,1.2716,51.8208,1.2489,62.2282
7OW5,99,58.8844,5,49.6522,0.6112,49.6599,0.6056,59.7829
7OW5,100,55.9748,5,46.5968,1.1232,46.6033,1.1514,57.3519
7OW5,101,53.1893,5,44.6246,0.5485,44.6332,0.5495,53.9175
7OW5,102,50.5235,5,41.4165,0.6578,41.4352,0.6466,50.6288
7OW5,103,47.9731,5,40.3538,0.2206,40.3663,0.2155,47.7561
7OW5,104,45.5338,5,37.8432,1.1164,37.8462,1.1239,45.8326
7OW5,105,43.2016,5,36.0153,0.2867,36.0211,0.2895,43.4430
7OW5,106,40.9725,5,34.1690,0.3966,34.1716,0.4253,41.1190
7OW5,107,38.8428,5,32.0832,0.7524,32.0727,0.7366,39.3095
7OW5,108,36.8086,5,31.2640,0.8379,31.2614,0.8416,37.5626
7OW5,109,34.8665,5,28.8344,0.5227,28.8551,0.4969,35.2867
7OW5,110,33.0129,5,27.4940,0.7262,27.5146,0.7326,33.4800
7OW5,111,31.2443,5,25.7011,0.4402,25.7045,0.4475,31.6570
7OW5,112,29.5577,5,24.5467,0.4662,24.5650,0.4562,29.5905
7OW5,113,27.9497,5,23.5301,0.4527,23.5399,0.4383,28.1813
7OW5,114,26.4172,5,22.1731,0.3647,22.1866,0.3679,26.9319
7OW5,115,24.9573,5,20.3884,0.2525,20.3867,0.2382,24.8815
7OW5,116,23.5672,5,19.4204,0.2594,19.4373,0.2398,23.7638
7OW5,117,22.2439,5,18.1467,0.2259,18.1639,0.2305,21.8400
7OW5,118,20.9849,5,17.2326,0.3494,17.2643,0.3420,20.9750
7OW5,119,19.7874,5,16.3761,0.4386,16.3872,0.4281,19.7977
7OW5,120,18.649,5,15.4077,0.2556,15.4384,0.2766,18.6877
